visit_id,customer_id,lead_id,branch_id,entring_datetime,leaving_datetime,purchased
1,2719,,200,2025-02-27 16:57:15,2025-02-27 18:35:15,True
2,1551,,300,2025-02-10 10:18:33,2025-02-10 10:45:33,True
3,1286,,300,2024-10-24 13:25:28,2024-10-24 14:02:28,True
4,,405,300,2024-03-09 15:02:13,2024-03-09 15:27:13,False
5,2489,,300,2024-08-28 15:19:46,2024-08-28 16:54:46,True
6,,765,200,2023-02-13 15:19:05,2023-02-13 16:54:05,True
7,38,,100,2024-07-12 18:02:48,2024-07-12 19:55:48,False
8,1064,,200,2025-04-12 14:11:30,2025-04-12 14:29:30,False
9,2623,,100,2023-11-15 12:19:44,2023-11-15 13:42:44,True
10,,344,300,2025-02-14 13:36:57,2025-02-14 13:43:57,True
11,,383,100,2021-06-12 13:13:57,2021-06-12 14:06:57,True
12,1820,,100,2025-04-10 15:34:08,2025-04-10 17:23:08,True
13,1717,,200,2023-10-11 13:59:31,2023-10-11 15:10:31,False
14,,754,200,2025-05-31 17:01:52,2025-05-31 17:15:52,True
15,,993,300,2024-10-03 16:32:03,2024-10-03 17:39:03,False
16,2228,,100,2024-08-15 18:12:29,2024-08-15 19:25:29,True
17,,351,300,2024-07-12 12:38:18,2024-07-12 13:50:18,False
18,1679,,300,2025-01-19 13:00:41,2025-01-19 14:44:41,True
19,2198,,100,2024-01-11 09:00:29,2024-01-11 10:01:29,False
20,1033,,200,2024-11-04 19:10:31,2024-11-04 19:54:31,True
21,1332,,300,2025-06-26 16:18:52,2025-06-26 17:08:52,True
22,516,,100,2024-09-14 15:06:59,2024-09-14 15:46:59,False
23,431,,200,2023-10-13 19:02:05,2023-10-13 20:43:05,False
24,,895,200,2022-08-05 10:06:50,2022-08-05 11:28:50,True
25,,588,100,2022-04-20 15:11:05,2022-04-20 16:57:05,True
26,2528,,300,2025-05-29 15:02:40,2025-05-29 15:20:40,True
27,,986,300,2023-09-16 10:42:14,2023-09-16 11:47:14,False
28,869,,100,2024-07-14 11:38:36,2024-07-14 12:08:36,True
29,,738,100,2025-02-19 10:07:29,2025-02-19 11:21:29,True
30,2720,,300,2025-02-23 15:54:59,2025-02-23 17:29:59,True
31,,557,200,2024-11-02 13:41:23,2024-11-02 15:17:23,False
32,,645,300,2023-10-18 09:01:34,2023-10-18 09:21:34,True
33,387,,100,2024-11-08 18:02:32,2024-11-08 19:29:32,True
34,883,,200,2024-03-15 12:07:06,2024-03-15 13:49:06,True
35,,167,200,2025-01-25 18:02:41,2025-01-25 18:07:41,True
36,,489,300,2024-02-13 17:48:19,2024-02-13 18:16:19,True
37,2325,,100,2024-10-23 16:17:34,2024-10-23 17:21:34,True
38,,291,200,2024-10-18 14:19:40,2024-10-18 16:14:40,True
39,1162,,300,2024-09-15 10:38:26,2024-09-15 11:10:26,True
40,692,,200,2023-05-22 15:01:42,2023-05-22 15:07:42,True
41,,693,200,2024-08-30 10:30:37,2024-08-30 11:52:37,True
42,39,,300,2025-01-03 15:44:34,2025-01-03 16:08:34,False
43,583,,300,2025-06-07 17:02:16,2025-06-07 18:49:16,True
44,790,,100,2024-07-11 15:38:30,2024-07-11 16:07:30,False
45,287,,200,2024-12-10 14:53:25,2024-12-10 15:43:25,False
46,2410,,300,2025-06-02 17:38:23,2025-06-02 19:08:23,True
47,,345,300,2024-02-08 12:00:45,2024-02-08 13:30:45,True
48,,369,100,2022-05-28 11:54:48,2022-05-28 12:09:48,True
49,1942,,200,2024-11-21 12:48:47,2024-11-21 13:32:47,True
50,1580,,300,2024-10-27 19:08:05,2024-10-27 19:50:05,False
51,,121,300,2025-03-15 15:59:26,2025-03-15 16:43:26,False
52,,180,200,2023-12-21 12:03:12,2023-12-21 13:10:12,True
53,2175,,200,2023-07-24 10:51:18,2023-07-24 11:33:18,True
54,767,,200,2024-11-12 12:30:37,2024-11-12 13:19:37,True
55,2336,,200,2023-05-30 12:09:56,2023-05-30 13:18:56,True
56,,849,300,2024-07-11 14:23:00,2024-07-11 14:56:00,True
57,2527,,200,2024-12-01 16:40:37,2024-12-01 18:05:37,True
58,,730,200,2024-04-03 10:29:00,2024-04-03 11:42:00,True
59,,998,100,2023-12-02 10:49:07,2023-12-02 11:43:07,True
60,1752,,100,2022-12-03 09:55:12,2022-12-03 10:39:12,True
61,839,,100,2024-05-30 12:32:11,2024-05-30 14:22:11,True
62,428,,300,2025-03-30 13:07:25,2025-03-30 14:46:25,False
63,2884,,300,2024-11-09 09:27:28,2024-11-09 11:04:28,True
64,,983,200,2025-03-17 17:05:11,2025-03-17 17:28:11,False
65,,366,300,2025-04-30 11:14:37,2025-04-30 12:18:37,True
66,124,,200,2023-05-26 11:25:53,2023-05-26 12:12:53,False
67,,265,100,2025-06-11 19:47:25,2025-06-11 21:06:25,True
68,2897,,300,2025-01-29 16:06:28,2025-01-29 16:41:28,True
69,2369,,100,2025-03-12 19:58:47,2025-03-12 21:19:47,True
70,,238,200,2023-03-29 14:38:10,2023-03-29 15:59:10,True
71,,968,100,2024-01-28 09:11:28,2024-01-28 11:06:28,True
72,2997,,300,2025-04-01 11:29:50,2025-04-01 13:21:50,False
73,,868,100,2024-01-30 12:25:04,2024-01-30 14:19:04,False
74,2669,,200,2025-02-17 18:54:48,2025-02-17 20:52:48,True
75,,685,100,2023-05-20 13:49:44,2023-05-20 14:15:44,True
76,,608,300,2024-03-10 19:54:05,2024-03-10 20:56:05,True
77,,528,300,2025-04-03 12:54:45,2025-04-03 13:38:45,True
78,,278,200,2022-07-10 13:58:55,2022-07-10 15:32:55,True
79,1741,,200,2025-06-24 16:09:07,2025-06-24 16:36:07,False
80,1173,,200,2025-06-21 11:23:09,2025-06-21 13:05:09,False
81,,5,300,2025-06-09 11:32:38,2025-06-09 12:39:38,True
82,567,,300,2025-01-21 17:03:45,2025-01-21 18:30:45,True
83,,567,300,2024-05-02 19:31:05,2024-05-02 21:07:05,False
84,1642,,300,2025-02-02 09:58:00,2025-02-02 11:52:00,True
85,355,,100,2024-11-28 13:35:47,2024-11-28 13:42:47,False
86,,832,300,2024-05-22 17:45:50,2024-05-22 19:21:50,False
87,,582,200,2023-12-24 14:44:28,2023-12-24 16:32:28,True
