visit_id,branch_id,customer_id,lead_id,visit_time
1,100,1,,2021-02-15 00:16:19
2,200,1,,2021-02-15 08:08:43
3,300,1,,2021-02-15 09:55:57
4,300,1,,2021-02-15 10:57:17
5,300,1,,2021-02-15 15:35:37
6,100,1,,2021-02-15 22:03:51
7,300,1,,2021-02-16 08:58:52
8,300,1,,2021-02-16 14:30:46
9,200,1,,2021-02-16 22:38:44
10,300,1,,2021-02-17 02:17:32
11,300,2,,2021-02-17 14:58:14
12,200,3,,2021-02-17 23:18:22
13,300,4,,2021-02-18 09:31:54
14,200,5,,2021-02-18 13:21:32
15,100,,1,2021-02-18 15:54:06
16,100,,1,2021-02-18 19:10:29
17,200,1,,2021-02-18 22:06:16
18,100,2,,2021-02-19 03:00:55
19,300,5,,2021-02-19 03:32:06
20,100,4,,2021-02-19 04:45:37
21,100,,1,2021-02-19 07:56:03
22,300,5,,2021-02-19 09:36:17
23,300,3,,2021-02-19 13:03:33
24,100,6,,2021-02-19 13:31:51
25,200,,1,2021-02-20 04:37:58
26,300,1,,2021-02-20 06:15:22
27,100,4,,2021-02-20 12:33:53
28,100,1,,2021-02-20 16:06:10
29,200,1,,2021-02-20 18:50:15
30,100,7,,2021-02-20 19:08:53
31,100,2,,2021-02-20 19:20:56
32,300,,1,2021-02-21 07:58:11
33,100,7,,2021-02-21 10:38:00
34,200,1,,2021-02-21 12:48:09
35,300,5,,2021-02-21 15:37:52
36,100,,1,2021-02-21 22:36:30
37,300,,1,2021-02-21 23:28:00
38,300,2,,2021-02-22 13:05:47
39,200,6,,2021-02-22 16:42:34
40,300,11,,2021-02-22 18:47:16
41,100,12,,2021-02-22 18:54:01
42,100,8,,2021-02-22 23:11:06
43,100,,2,2021-02-23 05:28:21
44,100,,2,2021-02-23 06:58:59
45,100,16,,2021-02-23 08:30:02
46,300,,2,2021-02-23 09:52:22
47,300,,1,2021-02-23 10:38:45
48,200,14,,2021-02-23 10:57:02
49,300,15,,2021-02-23 20:05:49
50,200,,3,2021-02-24 04:06:50
51,200,13,,2021-02-24 04:21:16
52,300,,1,2021-02-24 05:16:37
53,300,,2,2021-02-24 06:31:11
54,200,8,,2021-02-24 11:02:45
55,300,7,,2021-02-24 21:05:17
56,100,15,,2021-02-24 21:59:30
57,200,,1,2021-02-25 01:37:06
58,200,13,,2021-02-25 01:44:49
59,100,,4,2021-02-25 02:40:49
60,300,2,,2021-02-25 04:04:06
61,300,,4,2021-02-25 14:00:01
62,300,,4,2021-02-25 18:14:53
63,200,12,,2021-02-26 07:41:20
64,200,2,,2021-02-26 09:23:43
65,300,10,,2021-02-26 10:48:40
66,300,,5,2021-02-26 12:45:20
67,200,13,,2021-02-26 15:35:09
68,100,,6,2021-02-26 17:38:06
69,100,16,,2021-02-26 21:34:57
70,300,,1,2021-02-26 21:48:58
71,300,16,,2021-02-27 00:19:43
72,100,18,,2021-02-27 02:29:33
73,100,11,,2021-02-27 06:38:08
74,100,17,,2021-02-27 07:33:45
75,200,8,,2021-02-27 15:31:40
76,300,,2,2021-02-27 16:54:10
77,100,13,,2021-02-27 19:03:26
78,200,9,,2021-02-27 22:05:52
79,200,,2,2021-02-28 00:14:39
80,100,11,,2021-02-28 01:57:50
81,300,3,,2021-02-28 03:28:20
82,200,11,,2021-02-28 06:38:45
83,200,3,,2021-02-28 07:35:18
84,100,,5,2021-02-28 08:23:11
85,300,,6,2021-02-28 14:34:46
86,300,,2,2021-02-28 14:45:58
87,300,2,,2021-02-28 19:49:42
88,200,9,,2021-03-01 00:58:19
89,200,9,,2021-03-01 01:00:59
90,300,,3,2021-03-01 17:06:18
91,300,2,,2021-03-01 21:32:44
92,300,,4,2021-03-02 03:21:31
93,100,9,,2021-03-02 03:47:56
94,100,,7,2021-03-02 05:37:24
95,100,,4,2021-03-02 08:46:28
96,100,,6,2021-03-02 10:23:46
97,300,19,,2021-03-02 12:56:50
98,100,5,,2021-03-02 16:25:36
99,300,,4,2021-03-02 17:58:11
100,100,,2,2021-03-02 19:45:53
101,300,8,,2021-03-03 00:53:47
102,200,17,,2021-03-03 02:55:09
103,200,15,,2021-03-03 06:37:22
104,300,16,,2021-03-03 08:54:18
105,300,18,,2021-03-03 18:10:01
106,100,2,,2021-03-03 21:21:29
107,100,4,,2021-03-04 02:30:43
108,200,21,,2021-03-04 04:20:43
109,200,19,,2021-03-04 06:06:20
110,200,7,,2021-03-04 14:36:35
111,100,9,,2021-03-04 16:22:40
112,200,24,,2021-03-04 22:30:00
113,100,8,,2021-03-05 00:03:40
114,300,8,,2021-03-05 07:50:14
115,100,5,,2021-03-05 11:56:00
116,200,,7,2021-03-05 19:33:43
117,100,4,,2021-03-05 20:41:29
118,100,11,,2021-03-05 21:36:40
119,100,22,,2021-03-06 01:51:36
120,100,6,,2021-03-06 09:00:37
121,200,20,,2021-03-06 23:21:13
122,100,1,,2021-03-07 00:44:19
123,100,,4,2021-03-07 04:00:29
124,300,,11,2021-03-07 10:29:59
125,100,,11,2021-03-07 14:34:02
126,300,,7,2021-03-07 14:41:19
127,100,26,,2021-03-08 01:24:10
128,100,,8,2021-03-08 10:15:12
129,100,18,,2021-03-08 13:58:12
130,300,15,,2021-03-08 14:36:41
131,200,,11,2021-03-08 23:51:24
