dis_id,product_id,start_time,end_time,dis_precent
1,51,2021-04-20 00:00:00,2021-05-10 00:00:00,40
2,75,2021-05-12 00:00:00,2021-05-27 00:00:00,10
3,18,2021-06-22 00:00:00,2021-07-06 00:00:00,10
4,14,2021-08-31 00:00:00,2021-09-17 00:00:00,30
5,6,2021-12-01 00:00:00,2021-12-11 00:00:00,20
6,24,2021-12-14 00:00:00,2021-12-25 00:00:00,35
7,63,2022-02-14 00:00:00,2022-03-05 00:00:00,25
8,53,2022-03-15 00:00:00,2022-03-26 00:00:00,15
9,67,2022-04-13 00:00:00,2022-04-30 00:00:00,25
10,55,2022-04-14 00:00:00,2022-04-28 00:00:00,15
11,27,2022-05-01 00:00:00,2022-05-21 00:00:00,40
12,31,2022-06-12 00:00:00,2022-06-23 00:00:00,15
13,63,2022-06-15 00:00:00,2022-06-26 00:00:00,40
14,44,2022-09-02 00:00:00,2022-09-21 00:00:00,35
15,64,2022-10-03 00:00:00,2022-10-15 00:00:00,30
16,74,2022-10-07 00:00:00,2022-10-23 00:00:00,10
17,12,2023-01-10 00:00:00,2023-01-23 00:00:00,35
18,3,2023-03-03 00:00:00,2023-03-23 00:00:00,30
19,2,2023-05-13 00:00:00,2023-05-28 00:00:00,30
20,69,2023-05-27 00:00:00,2023-06-08 00:00:00,15
21,29,2023-06-16 00:00:00,2023-06-28 00:00:00,30
22,12,2023-08-16 00:00:00,2023-09-02 00:00:00,15
23,29,2023-08-30 00:00:00,2023-09-09 00:00:00,20
24,51,2023-09-05 00:00:00,2023-09-18 00:00:00,40
25,44,2023-09-06 00:00:00,2023-09-19 00:00:00,40
26,21,2023-09-29 00:00:00,2023-10-11 00:00:00,35
27,25,2023-10-16 00:00:00,2023-11-02 00:00:00,10
28,18,2023-12-02 00:00:00,2023-12-16 00:00:00,25
29,75,2024-02-28 00:00:00,2024-03-12 00:00:00,25
30,14,2024-03-11 00:00:00,2024-03-26 00:00:00,25
31,77,2024-03-21 00:00:00,2024-04-06 00:00:00,20
32,18,2024-05-06 00:00:00,2024-05-20 00:00:00,35
33,30,2024-06-07 00:00:00,2024-06-26 00:00:00,20
34,4,2024-11-03 00:00:00,2024-11-16 00:00:00,10
35,54,2024-12-10 00:00:00,2024-12-22 00:00:00,20
