Order_line_id,product_id,Order_id,quantity,dis_id,design_id
1,65,1,3,,91
2,70,1,8,,21
3,18,2,5,,84
4,24,2,4,,6
5,39,2,1,,128
6,7,3,5,,108
7,32,3,3,,136
8,26,4,3,,15
9,34,4,5,,121
10,53,4,2,,131
11,35,5,5,,21
12,37,5,2,,91
13,31,6,5,,88
14,47,6,1,,108
15,58,6,3,,142
16,9,7,5,,36
17,26,7,2,,15
18,12,8,5,,137
19,53,8,4,,131
20,67,8,4,,92
21,22,9,9,,2
22,29,9,2,,7
23,12,10,2,,137
24,27,10,3,,19
25,76,10,5,,11
26,15,11,4,,111
27,60,11,4,,97
28,11,12,1,,70
29,48,12,9,,66
30,65,12,5,,91
31,50,13,4,,97
32,70,13,2,,21
33,18,14,1,,84
34,52,14,2,,84
35,65,14,4,,91
36,8,15,3,,117
37,53,15,2,,131
38,59,16,4,,101
39,71,16,9,,2
40,77,16,1,,123
41,14,17,7,,17
42,39,17,5,,128
43,12,18,5,,137
44,25,18,7,,7
45,43,18,4,,144
46,37,19,3,,91
47,67,19,2,,92
48,13,20,4,,43
49,67,20,1,,92
50,77,20,1,,123
51,44,21,3,,43
52,64,21,3,,21
53,5,22,1,,54
54,35,22,3,,21
55,40,22,4,,107
56,14,23,3,,17
57,32,23,2,,136
58,11,24,2,,70
59,19,24,4,,16
60,74,24,5,,114
61,31,25,4,,88
62,65,25,2,,91
63,5,26,1,,54
64,37,26,1,,91
65,63,26,2,,106
66,29,27,5,,7
67,32,27,2,,136
68,5,28,5,,54
69,33,28,2,,89
70,73,28,3,,13
71,17,29,2,,120
72,65,29,2,,91
73,6,30,2,,35
74,72,30,5,,49
75,74,30,4,,114
76,8,31,5,,117
77,45,31,1,,117
78,24,32,2,,6
79,48,32,3,,66
80,66,32,5,,31
81,49,33,4,,143
82,57,33,1,,3
83,43,34,10,,144
84,50,34,3,,97
85,54,34,6,,108
86,3,35,3,,89
87,14,35,3,,17
88,31,36,3,,88
89,70,36,1,,21
90,73,36,3,,13
91,4,37,5,,84
92,75,37,3,,60
93,19,38,1,,16
94,25,38,10,,7
95,76,38,1,,11
96,29,39,3,,7
97,58,39,1,,142
98,7,40,2,,108
99,12,40,1,,137
100,64,40,4,,21
101,8,41,2,,117
102,54,41,5,,108
103,27,42,2,,19
104,40,42,5,,107
105,58,42,4,,142
106,57,43,6,,3
107,69,43,3,,28
108,3,44,6,,89
109,31,44,5,,88
110,42,44,4,,8
111,36,45,5,,65
112,66,45,2,,31
113,8,46,2,,117
114,20,46,2,,88
115,50,46,10,,97
116,23,47,1,,137
117,48,47,3,,66
118,1,48,1,,75
119,54,48,7,,108
120,66,48,1,,31
121,14,49,4,,17
122,37,49,5,,91
123,26,50,1,,15
124,56,50,3,,4
