Order_id,branch_id,customer_id,time,payment_method
1,100,1,2021-02-15 08:54:59,Cash
2,100,3,2021-02-15 18:11:53,Cash
3,100,4,2021-02-16 06:42:23,Debit Card
4,100,1,2021-02-17 08:25:53,Debit Card
5,100,3,2021-02-17 08:56:52,Debit Card
6,100,1,2021-02-17 11:55:52,Cash
7,100,4,2021-02-17 20:39:15,Cash
8,100,4,2021-02-17 20:49:04,Debit Card
9,100,5,2021-02-18 09:15:26,Debit Card
10,100,5,2021-02-18 14:25:30,Debit Card
11,100,10,2021-02-18 16:18:03,Cash
12,100,10,2021-02-18 16:42:39,Cash
13,100,10,2021-02-18 20:14:01,Cash
14,100,2,2021-02-19 04:50:22,Debit Card
15,100,3,2021-02-19 14:43:59,Debit Card
16,100,11,2021-02-20 02:43:21,Debit Card
17,100,13,2021-02-20 02:57:06,Cash
18,100,10,2021-02-20 04:25:23,Debit Card
19,100,1,2021-02-20 05:31:48,Debit Card
20,100,8,2021-02-20 11:24:01,Debit Card
21,100,3,2021-02-20 13:06:43,Cash
22,100,10,2021-02-20 18:10:31,Cash
23,100,11,2021-02-20 19:49:46,Debit Card
24,100,7,2021-02-21 04:15:28,Debit Card
25,100,10,2021-02-22 03:04:30,Cash
26,100,3,2021-02-22 10:21:12,Cash
27,100,4,2021-02-22 15:02:26,Debit Card
28,100,9,2021-02-22 17:48:05,Debit Card
29,100,18,2021-02-22 19:34:48,Debit Card
30,100,18,2021-02-23 04:01:39,Cash
31,100,18,2021-02-23 20:41:54,Debit Card
32,100,9,2021-02-23 23:56:45,Cash
33,100,4,2021-02-24 11:16:35,Debit Card
34,100,13,2021-02-24 11:49:48,Cash
35,100,12,2021-02-24 12:27:28,Debit Card
36,100,7,2021-02-24 12:56:13,Debit Card
37,100,9,2021-02-25 04:00:42,Cash
38,100,23,2021-02-25 17:21:21,Debit Card
39,100,6,2021-02-25 17:59:01,Debit Card
40,100,16,2021-02-26 05:54:12,Cash
41,100,29,2021-02-26 09:25:08,Cash
42,100,5,2021-02-26 20:28:59,Debit Card
43,100,26,2021-02-27 08:17:22,Debit Card
44,100,14,2021-02-27 10:36:41,Cash
45,100,18,2021-02-27 10:58:23,Cash
46,100,20,2021-02-27 15:04:02,Cash
47,100,25,2021-02-27 21:46:43,Cash
48,100,22,2021-02-28 14:20:09,Debit Card
49,100,20,2021-03-01 02:44:23,Debit Card
50,100,3,2021-03-01 02:49:21,Debit Card
51,100,15,2021-03-01 09:45:49,Cash
52,100,23,2021-03-01 12:46:29,Cash
53,100,43,2021-03-02 09:13:11,Debit Card
54,100,5,2021-03-02 09:51:42,Cash
