visit_id,customer_id,lead_id,branch_id,entring_datetime,leaving_datetime,purchased
1,1,,100,2/15/2021 00:50:40,2/15/2021 02:23:40,FALSE
2,1,,100,2/15/2021 03:44:35,2/15/2021 07:15:35,FALSE
3,1,,100,2/15/2021 04:55:50,2/15/2021 06:15:50,FALSE
4,1,,100,2/15/2021 15:06:33,2/15/2021 18:10:33,TRUE
5,2,,100,2/16/2021 08:25:29,2/16/2021 12:02:29,TRUE
6,1,,100,2/16/2021 19:17:55,2/16/2021 20:53:55,TRUE
7,2,,100,2/16/2021 22:05:10,2/16/2021 00:51:10,TRUE
8,1,,100,2/17/2021 06:50:33,2/17/2021 10:27:33,FALSE
9,3,,100,2/17/2021 10:20:56,2/17/2021 11:20:56,FALSE
10,3,,100,2/18/2021 21:11:43,2/18/2021 00:14:43,FALSE
11,5,,100,2/19/2021 01:13:39,2/19/2021 02:04:39,TRUE
12,4,,100,2/19/2021 05:08:52,2/19/2021 08:34:52,TRUE
13,4,,100,2/19/2021 11:22:43,2/19/2021 14:42:43,FALSE
14,2,,100,2/19/2021 14:43:03,2/19/2021 15:59:03,FALSE
15,2,,100,2/19/2021 16:33:41,2/19/2021 17:42:41,TRUE
16,3,,100,2/20/2021 00:49:32,2/20/2021 04:37:32,FALSE
17,6,,100,2/20/2021 03:38:00,2/20/2021 04:57:00,FALSE
18,2,,100,2/20/2021 21:52:20,2/20/2021 00:28:20,TRUE
19,1,,100,2/20/2021 22:33:29,2/20/2021 02:23:29,TRUE
20,7,,100,2/21/2021 02:59:57,2/21/2021 05:10:57,TRUE
21,1,,100,2/21/2021 15:23:10,2/21/2021 19:02:10,FALSE
22,1,,100,2/22/2021 00:12:04,2/22/2021 02:14:04,TRUE
23,4,,100,2/22/2021 06:22:24,2/22/2021 08:13:24,FALSE
24,8,,100,2/22/2021 18:37:09,2/22/2021 21:51:09,FALSE
25,5,,100,2/23/2021 02:46:08,2/23/2021 06:22:08,FALSE
26,1,,100,2/23/2021 06:43:33,2/23/2021 08:53:33,TRUE
27,9,,100,2/23/2021 20:04:21,2/23/2021 22:43:21,FALSE
28,2,,100,2/24/2021 03:24:36,2/24/2021 04:16:36,FALSE
29,1,,100,2/24/2021 22:05:27,2/24/2021 00:32:27,FALSE
30,3,,100,2/25/2021 09:07:39,2/25/2021 11:06:39,FALSE
31,4,,100,2/25/2021 09:36:01,2/25/2021 11:01:01,TRUE
32,7,,100,2/25/2021 11:32:45,2/25/2021 12:35:45,FALSE
33,2,,100,2/25/2021 19:52:54,2/25/2021 23:11:54,TRUE
34,5,,100,2/27/2021 06:59:43,2/27/2021 08:37:43,TRUE
35,8,,100,2/27/2021 13:28:08,2/27/2021 15:54:08,TRUE
36,9,,100,2/28/2021 02:40:15,2/28/2021 03:41:15,TRUE
37,14,,100,2/28/2021 03:05:30,2/28/2021 06:34:30,FALSE
38,13,,100,2/28/2021 06:45:26,2/28/2021 10:04:26,FALSE
39,11,,100,2/28/2021 07:42:52,2/28/2021 10:32:52,TRUE
40,14,,100,3/1/2021 00:56:13,3/1/2021 04:21:13,FALSE
41,7,,100,3/1/2021 12:05:01,3/1/2021 14:06:01,TRUE
42,6,,100,3/1/2021 15:50:31,3/1/2021 19:38:31,TRUE
43,12,,100,3/2/2021 02:46:49,3/2/2021 04:13:49,FALSE
44,14,,100,3/2/2021 09:08:09,3/2/2021 11:48:09,TRUE
45,15,,100,3/2/2021 10:09:24,3/2/2021 11:22:24,FALSE
46,10,,100,3/2/2021 13:57:56,3/2/2021 15:07:56,FALSE
47,10,,100,3/2/2021 16:51:28,3/2/2021 17:59:28,TRUE
48,4,,100,3/2/2021 20:12:55,3/2/2021 20:56:55,TRUE
49,16,,100,3/3/2021 04:15:56,3/3/2021 06:00:56,TRUE
50,14,,100,3/4/2021 01:59:15,3/4/2021 05:56:15,FALSE
51,7,,100,3/4/2021 04:46:48,3/4/2021 06:10:48,FALSE
52,13,,100,3/4/2021 15:33:19,3/4/2021 18:11:19,FALSE
53,8,,100,3/4/2021 15:35:49,3/4/2021 17:08:49,TRUE
54,7,,100,3/5/2021 00:57:48,3/5/2021 03:44:48,TRUE
55,4,,100,3/5/2021 11:22:33,3/5/2021 13:37:33,TRUE
56,18,,100,3/6/2021 09:04:36,3/6/2021 12:20:36,TRUE
57,15,,100,3/7/2021 05:47:26,3/7/2021 08:35:26,TRUE
58,11,,100,3/7/2021 14:24:32,3/7/2021 16:27:32,FALSE
59,2,,100,3/7/2021 18:30:09,3/7/2021 22:08:09,FALSE
60,17,,100,3/7/2021 19:15:00,3/7/2021 20:44:00,FALSE
61,13,,100,3/8/2021 04:02:07,3/8/2021 05:05:07,FALSE
62,6,,100,3/8/2021 10:49:35,3/8/2021 12:46:35,FALSE
63,10,,100,3/8/2021 12:27:52,3/8/2021 15:16:52,FALSE
64,22,,100,3/8/2021 15:33:29,3/8/2021 18:07:29,FALSE
65,7,,100,3/9/2021 09:54:34,3/9/2021 11:41:34,TRUE
66,10,,100,3/9/2021 10:02:33,3/9/2021 11:09:33,TRUE
67,20,,100,3/9/2021 17:42:02,3/9/2021 20:46:02,TRUE
68,17,,100,3/9/2021 19:26:26,3/9/2021 22:59:26,FALSE
69,12,,100,3/10/2021 02:42:00,3/10/2021 06:29:00,TRUE
70,21,,100,3/10/2021 09:10:04,3/10/2021 13:08:04,TRUE
71,22,,100,3/11/2021 01:22:48,3/11/2021 04:34:48,FALSE
72,6,,100,3/11/2021 13:30:49,3/11/2021 17:09:49,FALSE
73,4,,100,3/11/2021 17:02:49,3/11/2021 19:04:49,FALSE
74,7,,100,3/12/2021 04:38:23,3/12/2021 08:18:23,FALSE
75,2,,100,3/12/2021 08:38:08,3/12/2021 09:13:08,TRUE
76,24,,100,3/12/2021 12:12:12,3/12/2021 13:32:12,FALSE
77,23,,100,3/12/2021 18:11:33,3/12/2021 21:33:33,TRUE
78,12,,100,3/12/2021 21:22:14,3/12/2021 23:11:14,TRUE
79,17,,100,3/12/2021 22:53:57,3/12/2021 02:15:57,TRUE
80,27,,100,3/13/2021 17:25:03,3/13/2021 18:48:03,FALSE
81,19,,100,3/13/2021 23:42:13,3/13/2021 00:34:13,TRUE
82,24,,100,3/14/2021 05:41:36,3/14/2021 06:28:36,FALSE
83,27,,100,3/14/2021 18:20:29,3/14/2021 19:06:29,FALSE
84,20,,100,3/14/2021 19:10:50,3/14/2021 20:38:50,TRUE
85,11,,100,3/15/2021 08:26:01,3/15/2021 10:07:01,FALSE
86,27,,100,3/15/2021 08:34:29,3/15/2021 11:38:29,FALSE
87,19,,100,3/15/2021 20:28:00,3/15/2021 23:17:00,TRUE
88,22,,100,3/15/2021 21:54:01,3/15/2021 23:53:01,TRUE
89,29,,100,3/16/2021 00:35:52,3/16/2021 01:52:52,FALSE
90,12,,100,3/16/2021 04:16:57,3/16/2021 05:50:57,TRUE
91,10,,100,3/16/2021 05:56:24,3/16/2021 07:57:24,TRUE
92,26,,100,3/16/2021 11:50:42,3/16/2021 13:00:42,TRUE
93,26,,100,3/16/2021 13:14:20,3/16/2021 14:55:20,TRUE
94,30,,100,3/16/2021 13:51:08,3/16/2021 17:09:08,TRUE
95,16,,100,3/16/2021 22:21:14,3/16/2021 23:00:14,TRUE
96,23,,100,3/17/2021 03:49:50,3/17/2021 06:58:50,TRUE
97,3,,100,3/17/2021 07:14:00,3/17/2021 10:56:00,FALSE
