Order_id,scheduled_deliver_date,deliver_date
1,2021-02-22,2021-02-22
2,2021-02-17,2021-02-17
3,2021-02-18,2021-02-18
4,2021-02-20,2021-02-20
5,2021-02-22,2021-02-22
6,2021-02-21,2021-02-21
7,2021-02-25,2021-02-25
8,2021-02-20,2021-02-20
9,2021-02-24,2021-02-24
10,2021-02-23,2021-02-23
11,2021-02-27,2021-02-27
12,2021-02-23,2021-02-23
13,2021-02-25,2021-02-25
14,2021-02-25,2021-02-25
15,2021-02-28,2021-02-28
16,2021-03-01,2021-03-01
17,2021-02-27,2021-02-27
18,2021-02-27,2021-02-27
19,2021-02-27,2021-02-27
20,2021-03-01,2021-03-01
21,2021-02-27,2021-02-27
22,2021-03-03,2021-03-03
23,2021-02-28,2021-02-28
24,2021-03-05,2021-03-05
25,2021-03-03,2021-03-03
26,2021-03-01,2021-03-01
27,2021-03-07,2021-03-07
28,2021-03-02,2021-03-02
29,2021-03-05,2021-03-05
30,2021-03-04,2021-03-04
31,2021-03-05,2021-03-05
32,2021-03-05,2021-03-05
33,2021-03-09,2021-03-09
34,2021-03-10,2021-03-10
35,2021-03-09,2021-03-09
36,2021-03-11,2021-03-11
37,2021-03-08,2021-03-08
38,2021-03-11,2021-03-11
39,2021-03-11,2021-03-11
40,2021-03-09,2021-03-16
41,2021-03-13,2021-03-13
42,2021-03-10,2021-03-10
43,2021-03-10,2021-03-10
44,2021-03-11,2021-03-11
45,2021-03-13,2021-03-13
46,2021-03-12,2021-03-12
47,2021-03-13,2021-03-13
48,2021-03-12,2021-03-12
49,2021-03-15,2021-03-15
50,2021-03-17,2021-03-17
51,2021-03-15,2021-03-15
52,2021-03-16,2021-03-16
53,2021-03-19,2021-03-19
54,2021-03-16,2021-03-16
55,2021-03-17,2021-03-17
56,2021-03-18,2021-03-18
57,2021-03-19,2021-03-19
58,2021-03-22,2021-03-22
59,2021-03-20,2021-03-20
60,2021-03-18,2021-03-18
61,2021-03-20,2021-03-20
62,2021-03-22,2021-03-22
63,2021-03-21,2021-03-21
64,2021-03-23,2021-03-23
65,2021-03-24,2021-03-24
66,2021-03-26,2021-03-26
67,2021-03-24,2021-03-24
68,2021-03-22,2021-03-22
69,2021-03-23,2021-03-23
70,2021-03-23,2021-03-23
71,2021-03-28,2021-03-28
72,2021-03-24,2021-03-24
73,2021-03-30,2021-03-30
74,2021-03-26,2021-03-26
75,2021-03-27,2021-03-27
76,2021-03-26,2021-03-26
77,2021-03-30,2021-03-30
78,2021-04-01,2021-04-01
79,2021-03-28,2021-03-28
80,2021-03-29,2021-03-29
81,2021-04-01,2021-04-01
82,2021-04-03,2021-04-03
83,2021-04-01,2021-04-01
84,2021-03-31,2021-03-31
85,2021-04-02,2021-04-02
86,2021-03-31,2021-03-31
87,2021-04-02,2021-04-02
88,2021-04-03,2021-04-03
89,2021-04-06,2021-04-06
90,2021-04-06,2021-04-06
91,2021-04-06,2021-04-06
92,2021-04-06,2021-04-06
93,2021-04-05,2021-04-05
94,2021-04-04,2021-04-04
95,2021-04-06,2021-04-06
96,2021-04-07,2021-04-07
97,2021-04-10,2021-04-10
98,2021-04-07,2021-04-07
99,2021-04-11,2021-04-11
100,2021-04-08,2021-04-08
101,2021-04-10,2021-04-10
102,2021-04-11,2021-04-11
103,2021-04-11,2021-04-11
104,2021-04-13,2021-04-13
105,2021-04-14,2021-04-14
106,2021-04-11,2021-04-11
107,2021-04-11,2021-04-11
108,2021-04-12,2021-04-12
109,2021-04-15,2021-04-15
110,2021-04-12,2021-04-12
111,2021-04-13,2021-04-13
112,2021-04-17,2021-04-17
113,2021-04-17,2021-04-17
114,2021-04-16,2021-04-16
115,2021-04-16,2021-04-16
116,2021-04-18,2021-04-18
117,2021-04-16,2021-04-16
118,2021-04-19,2021-04-19
119,2021-04-20,2021-04-20
120,2021-04-22,2021-04-22
121,2021-04-21,2021-04-21
122,2021-04-20,2021-04-20
123,2021-04-23,2021-04-23
124,2021-04-19,2021-04-19
125,2021-04-20,2021-04-20
126,2021-04-24,2021-04-24
127,2021-04-24,2021-04-24
128,2021-04-21,2021-04-21
129,2021-04-25,2021-04-25
130,2021-04-23,2021-04-23
131,2021-04-28,2021-04-28
132,2021-04-27,2021-04-27
133,2021-04-25,2021-04-25
134,2021-04-26,2021-04-26
135,2021-04-25,2021-04-25
136,2021-04-30,2021-04-30
137,2021-04-28,2021-04-28
138,2021-04-28,2021-04-28
139,2021-04-29,2021-04-29
140,2021-04-30,2021-04-30
141,2021-04-29,2021-04-29
142,2021-05-02,2021-05-02
143,2021-04-29,2021-04-29
144,2021-04-30,2021-04-30
145,2021-05-05,2021-05-05
146,2021-05-03,2021-05-03
147,2021-05-02,2021-05-02
148,2021-05-05,2021-05-05
149,2021-05-04,2021-05-04
150,2021-05-07,2021-05-07
151,2021-05-05,2021-05-05
152,2021-05-05,2021-05-05
153,2021-05-04,2021-05-04
154,2021-05-06,2021-05-06
155,2021-05-09,2021-05-09
156,2021-05-08,2021-05-08
157,2021-05-07,2021-05-07
158,2021-05-09,2021-05-09
159,2021-05-08,2021-05-08
160,2021-05-12,2021-05-12
161,2021-05-12,2021-05-12
162,2021-05-11,2021-05-11
163,2021-05-10,2021-05-10
164,2021-05-13,2021-05-13
165,2021-05-13,2021-05-13
166,2021-05-15,2021-05-15
