design_id,material,style,color
1,Wood,Modern,Baby Blue
2,Wood,Classic,Brown
3,Fabric,Modern,White
4,Wood,Modern,Gray
5,Wood,Classic,Mint Green
6,Wood,Classic,Light Blue
7,Wood,Modern,Yellow
8,Wood,Modern,Yellow
9,Fabric,Modern,Olive Green
10,Fabric,Classic,Brown
11,Metal,Classic,Red
12,Fabric,Classic,Royal Blue
13,Metal,Modern,Olive Green
14,Metal,Modern,Brown
15,Fabric,Modern,Dark Green
16,Wood,Modern,Maroon
17,Wood,Classic,Dark Green
18,Wood,Modern,Gray
19,Wood,Modern,Black
20,Wood,Classic,White
21,Wood,Classic,Royal Blue
22,Wood,Classic,White
23,Metal,Classic,Gray
24,Glass,Modern,Clear
25,Metal,Modern,Yellow
26,Plastic,Classic,Black
27,Metal,Modern,Red
28,Plastic,Classic,White
29,Wood,Classic,Maroon
30,Fabric,Modern,Black
31,Wood,Classic,Light Blue
32,Plastic,Modern,White
33,Wood,Modern,Mint Green
34,Metal,Classic,Clear
35,Fabric,Modern,Light Blue
36,Fabric,Classic,Gray
37,Fabric,Modern,Mint Green
38,Wood,Modern,Baby Blue
39,Metal,Modern,Olive Green
40,Plastic,Modern,Gray
41,Wood,Modern,Red
42,Fabric,Modern,Baby Blue
43,Wood,Classic,Dark Green
44,Wood,Classic,Light Blue
45,Plastic,Modern,Brown
46,Wood,Modern,Maroon
47,Fabric,Classic,Mint Green
48,Fabric,Modern,White
49,Metal,Modern,Red
50,Glass,Classic,White
51,Metal,Classic,Brown
52,Fabric,Classic,Baby Blue
53,Plastic,Classic,White
54,Glass,Classic,Brown
55,Wood,Classic,White
56,Wood,Modern,Dark Green
57,Metal,Modern,Dark Green
58,Plastic,Modern,Black
59,Wood,Classic,Clear
60,Glass,Modern,White
61,Glass,Modern,Dark Green
62,Fabric,Modern,Red
63,Fabric,Classic,Olive Green
64,Fabric,Classic,Mint Green
65,Fabric,Modern,Navy Blue
66,Wood,Modern,White
67,Metal,Classic,Red
68,Wood,Modern,Yellow
69,Metal,Modern,Maroon
70,Fabric,Modern,Mint Green
71,Plastic,Classic,Red
72,Wood,Modern,Royal Blue
73,Plastic,Modern,Black
74,Wood,Modern,Navy Blue
75,Metal,Classic,Red
76,Fabric,Classic,Olive Green
77,Fabric,Classic,Maroon
78,Fabric,Modern,Red
79,Metal,Classic,White
80,Fabric,Classic,White
81,Fabric,Modern,Olive Green
82,Metal,Classic,Olive Green
83,Fabric,Classic,Light Blue
84,Wood,Classic,Black
85,Metal,Modern,White
86,Metal,Classic,Navy Blue
87,Wood,Modern,Maroon
88,Wood,Modern,Brown
89,Fabric,Classic,Dark Green
90,Wood,Modern,Royal Blue
91,Wood,Modern,Light Blue
92,Metal,Classic,Dark Green
93,Wood,Classic,Mint Green
94,Wood,Modern,Brown
95,Metal,Modern,Clear
96,Plastic,Modern,Gray
97,Fabric,Classic,Black
98,Fabric,Modern,White
99,Plastic,Classic,Black
100,Plastic,Classic,Black
101,Metal,Classic,Royal Blue
102,Metal,Classic,Baby Blue
103,Wood,Modern,Yellow
104,Wood,Modern,Royal Blue
105,Fabric,Modern,Red
106,Metal,Classic,Black
107,Fabric,Classic,Dark Green
108,Wood,Classic,Olive Green
109,Fabric,Modern,White
110,Fabric,Classic,Gray
111,Wood,Modern,Mint Green
112,Wood,Classic,Dark Green
113,Fabric,Modern,Maroon
114,Wood,Modern,Baby Blue
115,Fabric,Modern,White
116,Fabric,Classic,Mint Green
117,Metal,Classic,Yellow
118,Fabric,Classic,Clear
119,Metal,Modern,Yellow
120,Wood,Classic,Royal Blue
121,Glass,Classic,Dark Green
122,Wood,Classic,Baby Blue
123,Metal,Modern,Red
124,Wood,Modern,Baby Blue
125,Glass,Modern,Brown
126,Wood,Classic,Mint Green
127,Fabric,Modern,Black
128,Wood,Classic,Maroon
129,Metal,Classic,Light Blue
130,Wood,Modern,Light Blue
131,Plastic,Classic,Gray
132,Glass,Modern,Black
133,Fabric,Modern,Brown
134,Metal,Classic,Baby Blue
135,Metal,Modern,Black
136,Plastic,Classic,Brown
137,Wood,Classic,Red
138,Glass,Modern,Light Blue
139,Metal,Modern,Clear
140,Wood,Modern,Navy Blue
141,Fabric,Modern,Gray
142,Plastic,Modern,Red
143,Fabric,Modern,White
144,Glass,Classic,Black
145,Fabric,Modern,Brown
