return_id,order_id,return_date,reason_id
1,9077,2025-05-24,4
2,8365,2025-03-19,4
3,4547,2024-05-05,4
4,4247,2024-03-25,4
5,6485,2024-10-16,4
6,8506,2025-03-24,4
7,5414,2024-07-05,4
8,2522,2023-07-25,4
9,4828,2024-05-18,4
10,5265,2024-06-26,4
11,311,2021-08-01,4
12,6704,2024-10-22,4
13,6612,2024-10-19,4
14,8495,2025-03-28,4
15,1340,2022-10-06,4
16,4717,2024-05-06,4
17,8921,2025-05-01,4
18,7922,2025-02-06,4
19,7183,2024-11-26,4
20,8181,2025-02-28,4
21,3370,2024-01-10,4
22,7133,2024-11-21,4
23,4652,2024-05-08,4
24,5040,2024-06-10,4
25,1574,2022-11-30,4
26,2214,2023-05-07,4
27,1776,2023-01-22,4
28,2687,2023-08-31,4
29,7151,2024-11-20,4
30,8760,2025-04-16,4
31,9120,2025-05-21,4
32,180,2021-05-31,4
33,2729,2023-09-14,4
34,1887,2023-02-18,4
35,951,2022-06-15,4
36,9135,2025-05-26,4
37,6327,2024-09-22,4
38,5180,2024-06-13,4
39,5932,2024-08-27,4
40,5014,2024-06-09,4
41,5004,2024-06-03,4
42,1247,2022-09-17,4
43,9387,2025-06-07,4
44,6235,2024-09-26,4
45,1351,2022-10-07,4
46,9272,2025-06-08,4
47,2252,2023-05-16,4
48,6135,2024-09-18,4
49,9997,2025-07-13,4
50,7411,2024-12-15,4
51,4913,2024-05-28,4
52,9655,2025-06-21,4
53,6383,2024-10-04,4
54,5458,2024-07-13,4
55,1316,2022-09-26,4
56,4656,2024-05-05,4
57,7755,2025-01-14,4
58,8994,2025-05-10,4
59,1624,2022-12-07,4
60,3789,2024-02-22,4
61,40,2021-03-18,4
62,497,2021-11-03,4
63,3331,2024-01-16,4
64,6838,2024-11-04,4
65,9365,2025-06-06,4
66,6552,2024-10-11,4
67,6264,2024-09-30,4
68,2829,2023-10-05,4
69,9461,2025-06-20,4
70,9991,2025-07-07,4
71,8483,2025-03-22,4
72,5825,2024-08-19,4
73,2997,2023-11-08,4
74,6036,2024-09-02,4
75,482,2021-10-31,4
76,5813,2024-08-13,4
77,2588,2023-08-05,4
78,5268,2024-06-25,4
79,6605,2024-10-17,4
80,9717,2025-07-03,4
81,3823,2024-02-22,4
82,7792,2025-01-23,4
83,5636,2024-07-30,4
84,5881,2024-08-16,4
85,8417,2025-03-22,4
86,2274,2023-05-21,4
87,2368,2023-06-16,4
88,1910,2023-02-26,4
89,722,2022-02-25,4
90,2956,2023-10-30,4
91,8594,2025-04-01,4
92,6093,2024-09-06,4
93,1586,2022-12-01,4
94,5152,2024-06-22,4
95,7387,2024-12-10,4
96,1524,2022-11-14,4
97,4521,2024-04-30,4
98,5468,2024-07-21,4
99,1453,2022-10-31,4
100,5984,2024-08-23,4
101,5480,2024-07-18,4
102,5116,2024-06-09,4
103,822,2022-04-17,4
104,7260,2024-12-05,4
105,2023,2023-03-17,4
106,2754,2023-09-23,4
107,9987,2025-07-13,4
108,3554,2024-02-03,4
109,9548,2025-06-21,4
110,8185,2025-03-02,4
111,2013,2023-03-20,4
112,5819,2024-08-19,4
113,7930,2025-02-09,4
114,7776,2025-01-14,4
115,6043,2024-09-02,4
116,4183,2024-03-22,4
117,6801,2024-10-22,4
118,1654,2022-12-17,4
119,8160,2025-02-24,4
120,3035,2023-11-10,4
121,1622,2022-12-06,3
122,6195,2024-09-19,5
123,7488,2024-12-15,1
124,6998,2024-11-14,1
125,8706,2025-04-10,6
126,2227,2023-05-07,6
127,2085,2023-03-30,5
128,4772,2024-05-14,3
129,9270,2025-05-26,2
130,1947,2023-03-09,6
131,5569,2024-07-21,2
132,8370,2025-03-07,5
133,9646,2025-06-26,3
134,1349,2022-10-04,3
135,483,2021-10-20,6
136,550,2021-11-24,6
137,134,2021-04-30,6
138,4048,2024-03-04,6
139,3079,2023-11-21,2
140,2573,2023-08-01,3
141,4563,2024-04-27,1
142,3199,2023-12-12,1
143,3070,2023-11-18,2
144,953,2022-06-15,5
145,8442,2025-03-17,1
146,964,2022-06-21,2
147,7365,2024-12-08,1
148,1816,2023-01-21,3
149,6333,2024-09-19,2
150,375,2021-09-05,1
151,1156,2022-08-13,5
152,1366,2022-10-02,2
153,287,2021-07-14,1
154,4532,2024-04-25,3
155,9037,2025-05-12,1
156,4778,2024-05-17,2
157,4111,2024-03-13,5
158,9165,2025-05-24,5
159,1148,2022-08-12,5
160,5842,2024-08-19,6
161,7631,2025-01-01,2
162,9807,2025-07-04,6
163,3247,2023-12-19,3
164,5787,2024-08-13,1
165,9810,2025-07-02,2
166,3511,2024-01-21,6
167,8193,2025-02-27,1
168,8352,2025-03-05,6
169,809,2022-04-09,1
170,7197,2024-11-21,6
171,8029,2025-02-16,1
172,1761,2023-01-12,3
173,321,2021-08-06,2
174,7602,2024-12-31,6
175,5280,2024-06-29,6
176,8437,2025-03-20,1
177,5954,2024-08-28,2
178,577,2021-12-14,2
179,4008,2024-03-09,6
180,3028,2023-11-06,3
181,2785,2023-09-16,2
182,5545,2024-07-14,1
183,6522,2024-10-08,2
184,4901,2024-05-26,5
185,4844,2024-05-21,6
186,2490,2023-07-11,1
187,3369,2024-01-19,3
188,1497,2022-11-09,1
189,3200,2023-12-14,2
190,4537,2024-04-25,5
191,257,2021-06-27,5
192,6315,2024-09-21,2
193,1895,2023-02-19,6
194,8254,2025-03-02,6
195,3415,2024-01-24,3
196,5477,2024-07-08,2
197,4685,2024-05-03,5
198,5157,2024-06-17,6
199,9524,2025-06-14,3
200,6990,2024-11-15,3
