Order_id,scheduled_deliver_date,deliver_date
1,2021-03-13,2021-03-10
2,2021-03-08,2021-03-07
3,2021-03-16,2021-03-16
4,2021-03-09,2021-03-08
5,2021-03-13,2021-03-12
6,2021-03-16,2021-03-13
7,2021-03-10,2021-03-07
8,2021-03-10,2021-03-09
9,2021-03-30,2021-03-28
10,2021-03-11,2021-03-08
11,2021-03-12,2021-03-12
12,2021-03-11,2021-03-09
13,2021-04-03,2021-04-02
14,2021-04-04,2021-04-02
15,2021-03-31,2021-03-28
16,2021-03-10,2021-03-10
17,2021-03-18,2021-03-16
18,2021-03-12,2021-03-11
19,2021-03-19,2021-03-16
20,2021-03-16,2021-03-15
21,2021-03-10,2021-03-07
22,2021-03-11,2021-03-09
23,2021-03-19,2021-03-19
24,2021-03-14,2021-03-14
25,2021-03-16,2021-03-14
26,2021-03-15,2021-03-12
27,2021-03-14,2021-03-11
28,2021-03-18,2021-03-15
29,2021-03-24,2021-03-23
30,2021-03-20,2021-03-17
31,2021-04-10,2021-04-07
32,2021-03-20,2021-03-17
33,2021-03-15,2021-03-13
34,2021-03-26,2021-03-26
35,2021-03-25,2021-03-24
36,2021-03-18,2021-03-16
37,2021-03-18,2021-03-15
38,2021-03-26,2021-03-25
39,2021-03-18,2021-03-16
40,2021-03-25,2021-03-22
41,2021-04-01,2021-03-30
42,2021-04-14,2021-04-12
43,2021-04-08,2021-04-06
44,2021-03-31,2021-03-29
45,2021-03-26,2021-03-24
46,2021-03-26,2021-03-25
47,2021-03-30,2021-03-28
48,2021-03-28,2021-03-27
49,2021-03-29,2021-03-29
50,2021-04-03,2021-03-31
51,2021-03-30,2021-03-28
52,2021-04-03,2021-04-01
53,2021-03-28,2021-03-27
54,2021-04-03,2021-03-31
55,2021-04-16,2021-04-14
56,2021-04-03,2021-04-02
57,2021-03-27,2021-03-27
58,2021-04-03,2021-04-03
59,2021-04-04,2021-04-02
60,2021-04-07,2021-04-07
61,2021-03-30,2021-03-29
62,2021-03-30,2021-03-27
63,2021-03-29,2021-03-27
64,2021-03-28,2021-03-30
65,2021-04-26,2021-04-26
66,2021-03-28,2021-03-25
67,2021-04-03,2021-04-02
68,2021-04-07,2021-04-07
69,2021-04-04,2021-04-02
70,2021-03-29,2021-03-26
71,2021-03-31,2021-03-30
72,2021-04-01,2021-03-30
73,2021-04-08,2021-04-08
74,2021-04-04,2021-04-01
75,2021-04-07,2021-04-05
76,2021-04-06,2021-04-05
77,2021-04-08,2021-04-08
78,2021-03-31,2021-03-30
79,2021-04-04,2021-04-01
80,2021-04-11,2021-04-10
81,2021-04-09,2021-04-09
82,2021-04-10,2021-04-08
83,2021-04-05,2021-04-03
84,2021-04-29,2021-04-28
85,2021-04-09,2021-04-09
86,2021-04-05,2021-04-05
87,2021-04-09,2021-04-07
88,2021-04-12,2021-04-10
89,2021-04-10,2021-04-08
90,2021-04-07,2021-04-07
91,2021-04-06,2021-04-05
92,2021-04-13,2021-04-10
93,2021-04-06,2021-04-05
94,2021-04-12,2021-04-12
95,2021-04-12,2021-04-12
96,2021-04-11,2021-04-09
97,2021-04-06,2021-04-04
98,2021-04-10,2021-04-09
99,2021-04-13,2021-04-10
100,2021-04-11,2021-04-08
101,2021-04-06,2021-04-06
