Order_id,scheduled_deliver_date,deliver_date
1,2021-03-12,2021-03-09
2,2021-03-14,2021-03-11
3,2021-03-13,2021-03-13
4,2021-03-13,2021-03-10
5,2021-03-10,2021-03-10
6,2021-03-14,2021-03-13
7,2021-03-28,2021-03-28
8,2021-03-14,2021-03-12
9,2021-03-13,2021-03-13
10,2021-03-15,2021-03-14
11,2021-03-13,2021-03-13
12,2021-03-10,2021-03-08
13,2021-03-17,2021-03-16
14,2021-03-19,2021-03-26
15,2021-03-11,2021-03-10
16,2021-03-16,2021-03-13
17,2021-03-14,2021-03-14
18,2021-03-16,2021-03-14
19,2021-03-12,2021-03-10
20,2021-03-16,2021-03-13
21,2021-03-10,2021-03-07
22,2021-03-15,2021-03-13
23,2021-03-12,2021-03-09
24,2021-03-19,2021-03-16
25,2021-03-15,2021-03-15
26,2021-03-21,2021-03-19
27,2021-03-19,2021-03-18
28,2021-03-21,2021-03-19
29,2021-03-16,2021-03-15
30,2021-03-20,2021-03-19
31,2021-03-21,2021-03-19
32,2021-03-20,2021-03-19
33,2021-03-19,2021-03-18
34,2021-03-25,2021-03-23
35,2021-03-30,2021-03-28
36,2021-03-24,2021-03-21
37,2021-03-19,2021-03-16
38,2021-03-19,2021-03-19
39,2021-03-24,2021-03-22
40,2021-03-25,2021-03-25
41,2021-03-25,2021-03-22
42,2021-03-26,2021-03-24
43,2021-03-23,2021-03-22
44,2021-04-03,2021-04-02
45,2021-03-31,2021-03-30
46,2021-04-21,2021-04-18
47,2021-03-30,2021-03-30
48,2021-04-02,2021-03-30
49,2021-04-03,2021-04-01
50,2021-03-31,2021-03-28
51,2021-03-26,2021-03-24
52,2021-03-30,2021-03-28
53,2021-03-27,2021-03-24
54,2021-03-29,2021-03-29
55,2021-04-02,2021-04-02
56,2021-04-05,2021-04-02
57,2021-03-27,2021-03-25
58,2021-04-04,2021-04-04
59,2021-03-31,2021-03-30
60,2021-04-01,2021-03-31
61,2021-04-06,2021-04-04
62,2021-04-01,2021-03-30
63,2021-03-28,2021-03-27
64,2021-03-30,2021-03-29
65,2021-04-03,2021-03-31
66,2021-04-04,2021-04-03
67,2021-03-30,2021-03-27
