visit_id,customer_id,lead_id,branch_id,entring,leaving,datetime,purchased
1,1,,100,05:22:41,06:28:41,2021-02-15 05:22:41,True
2,,1,100,09:00:28,11:18:28,2021-02-15 09:00:28,False
3,1,,100,09:17:03,12:42:03,2021-02-15 09:17:03,True
4,1,,100,14:30:10,15:53:10,2021-02-15 14:30:10,False
5,,1,100,17:20:54,20:59:54,2021-02-15 17:20:54,False
6,1,,100,18:55:15,20:21:15,2021-02-15 18:55:15,True
7,1,,100,19:05:51,21:42:51,2021-02-15 19:05:51,False
8,1,,100,19:43:40,22:04:40,2021-02-15 19:43:40,False
9,,1,100,04:01:49,07:20:49,2021-02-16 04:01:49,True
10,2,,100,06:11:04,09:03:04,2021-02-16 06:11:04,False
11,2,,100,11:05:06,12:03:06,2021-02-16 11:05:06,False
12,,1,100,11:27:41,13:53:41,2021-02-16 11:27:41,False
13,2,,100,15:57:46,19:13:46,2021-02-16 15:57:46,True
14,1,,100,16:04:14,17:45:14,2021-02-16 16:04:14,True
15,2,,100,18:15:27,20:23:27,2021-02-16 18:15:27,False
16,,1,100,21:42:00,01:13:00,2021-02-16 21:42:00,False
17,,1,100,01:22:10,04:29:10,2021-02-17 01:22:10,False
18,1,,100,03:12:46,04:30:46,2021-02-17 03:12:46,True
19,3,,100,06:33:59,10:01:59,2021-02-17 06:33:59,False
20,,1,100,08:52:46,09:55:46,2021-02-17 08:52:46,True
21,3,,100,13:33:18,14:59:18,2021-02-17 13:33:18,False
22,4,,100,15:23:01,18:27:01,2021-02-17 15:23:01,False
23,4,,100,18:48:32,21:03:32,2021-02-17 18:48:32,False
24,,1,100,22:36:29,23:16:29,2021-02-17 22:36:29,False
25,2,,100,23:13:08,02:20:08,2021-02-17 23:13:08,True
26,3,,100,04:32:22,05:16:22,2021-02-18 04:32:22,True
27,,2,100,06:55:03,09:49:03,2021-02-18 06:55:03,True
28,6,,100,07:01:50,08:15:50,2021-02-18 07:01:50,False
29,2,,100,07:02:11,08:15:11,2021-02-18 07:02:11,False
30,5,,100,07:18:17,11:11:17,2021-02-18 07:18:17,False
31,8,,100,08:08:34,11:11:34,2021-02-18 08:08:34,False
32,,1,100,08:55:42,10:23:42,2021-02-18 08:55:42,False
33,2,,100,09:03:00,11:31:00,2021-02-18 09:03:00,False
34,3,,100,10:43:45,11:42:45,2021-02-18 10:43:45,False
35,,2,100,13:48:53,15:38:53,2021-02-18 13:48:53,False
36,7,,100,17:08:12,20:05:12,2021-02-18 17:08:12,True
37,5,,100,18:02:17,19:54:17,2021-02-18 18:02:17,False
38,,2,100,05:01:57,06:38:57,2021-02-19 05:01:57,False
39,,1,100,08:38:22,12:04:22,2021-02-19 08:38:22,False
40,3,,100,10:42:28,12:49:28,2021-02-19 10:42:28,True
41,8,,100,13:13:11,15:07:11,2021-02-19 13:13:11,False
42,2,,100,15:31:30,16:32:30,2021-02-19 15:31:30,True
43,7,,100,17:30:15,18:17:15,2021-02-19 17:30:15,False
44,3,,100,23:25:02,02:32:02,2021-02-19 23:25:02,False
45,3,,100,03:45:14,06:40:14,2021-02-20 03:45:14,False
46,1,,100,10:43:51,13:49:51,2021-02-20 10:43:51,False
47,5,,100,15:50:46,19:18:46,2021-02-20 15:50:46,False
48,5,,100,19:54:42,22:02:42,2021-02-20 19:54:42,False
49,8,,100,20:08:56,22:06:56,2021-02-20 20:08:56,True
50,3,,100,23:11:56,02:05:56,2021-02-20 23:11:56,True
51,5,,100,00:43:04,01:45:04,2021-02-21 00:43:04,True
52,,1,100,02:07:53,05:59:53,2021-02-21 02:07:53,False
53,7,,100,02:37:37,04:18:37,2021-02-21 02:37:37,True
54,8,,100,03:08:54,03:54:54,2021-02-21 03:08:54,True
55,8,,100,03:36:10,07:06:10,2021-02-21 03:36:10,False
56,4,,100,04:34:06,07:03:06,2021-02-21 04:34:06,False
57,,2,100,07:40:10,08:33:10,2021-02-21 07:40:10,False
58,3,,100,09:36:02,11:36:02,2021-02-21 09:36:02,True
59,,3,100,13:13:40,15:01:40,2021-02-21 13:13:40,True
60,1,,100,15:42:22,18:48:22,2021-02-21 15:42:22,False
61,,3,100,22:46:05,02:01:05,2021-02-21 22:46:05,True
62,,1,100,00:14:08,03:39:08,2021-02-22 00:14:08,True
63,7,,100,01:21:54,02:12:54,2021-02-22 01:21:54,False
64,1,,100,02:05:25,05:41:25,2021-02-22 02:05:25,True
65,2,,100,11:10:07,11:40:07,2021-02-22 11:10:07,False
66,3,,100,11:40:36,15:24:36,2021-02-22 11:40:36,True
67,,3,100,13:51:27,15:49:27,2021-02-22 13:51:27,True
68,5,,100,18:39:53,20:33:53,2021-02-22 18:39:53,True
69,9,,100,22:45:46,00:21:46,2021-02-22 22:45:46,False
70,,4,100,04:36:39,07:53:39,2021-02-23 04:36:39,True
71,,2,100,06:10:30,06:41:30,2021-02-23 06:10:30,False
72,,3,100,08:49:36,10:55:36,2021-02-23 08:49:36,True
73,2,,100,08:57:49,10:42:49,2021-02-23 08:57:49,False
