design_id,material,style,color
1,Wood,Classic,Clear
2,Wood,Modern,Yellow
3,Metal,Classic,Navy Blue
4,Metal,Classic,Maroon
5,Glass,Classic,Clear
6,Wood,Classic,Maroon
7,Fabric,Modern,Olive Green
8,Fabric,Classic,Mint Green
9,Wood,Classic,Black
10,Glass,Modern,Light Blue
11,Wood,Modern,White
12,Wood,Classic,Navy Blue
13,Wood,Modern,Navy Blue
14,Glass,Modern,White
15,Wood,Modern,Olive Green
16,Metal,Classic,White
17,Wood,Modern,White
18,Wood,Classic,Navy Blue
19,Metal,Modern,Brown
20,Wood,Modern,Red
21,Fabric,Classic,Brown
22,Wood,Classic,Maroon
23,Plastic,Modern,Gray
24,Metal,Modern,Red
25,Metal,Classic,Yellow
26,Wood,Classic,White
27,Wood,Classic,Clear
28,Wood,Modern,Light Blue
29,Wood,Modern,Light Blue
30,Metal,Modern,Clear
31,Glass,Modern,Clear
32,Fabric,Classic,Clear
33,Wood,Modern,Brown
34,Metal,Classic,Royal Blue
35,Plastic,Classic,Red
36,Glass,Modern,Black
37,Metal,Modern,White
38,Fabric,Classic,White
39,Fabric,Modern,Mint Green
40,Wood,Modern,Brown
41,Fabric,Classic,Olive Green
42,Metal,Classic,Dark Green
43,Fabric,Modern,Brown
44,Fabric,Modern,Maroon
45,Fabric,Modern,Navy Blue
46,Fabric,Classic,Baby Blue
47,Fabric,Classic,White
48,Metal,Classic,Gray
49,Wood,Classic,Maroon
50,Wood,Modern,White
51,Fabric,Modern,Brown
52,Metal,Classic,Black
53,Wood,Modern,Black
54,Wood,Modern,Yellow
55,Wood,Classic,Dark Green
56,Plastic,Classic,Black
57,Wood,Classic,Mint Green
58,Fabric,Classic,Light Blue
59,Wood,Classic,Dark Green
60,Plastic,Classic,White
61,Metal,Modern,Dark Green
62,Wood,Classic,Baby Blue
63,Wood,Modern,Yellow
64,Fabric,Modern,Navy Blue
65,Wood,Classic,Brown
66,Fabric,Classic,Black
67,Wood,Classic,Brown
68,Plastic,Classic,Gray
69,Metal,Modern,Black
70,Wood,Classic,Clear
71,Metal,Classic,Royal Blue
72,Wood,Classic,Mint Green
73,Metal,Classic,Navy Blue
74,Fabric,Classic,Dark Green
75,Fabric,Modern,Yellow
76,Wood,Classic,Maroon
77,Wood,Classic,White
78,Metal,Modern,Olive Green
79,Fabric,Modern,White
80,Metal,Classic,Navy Blue
81,Wood,Modern,Red
82,Fabric,Classic,Black
83,Metal,Modern,Royal Blue
84,Glass,Classic,White
85,Glass,Classic,Black
86,Fabric,Modern,Clear
87,Plastic,Modern,Gray
88,Metal,Classic,Dark Green
89,Plastic,Classic,White
90,Wood,Modern,Mint Green
91,Plastic,Modern,Red
92,Wood,Classic,Baby Blue
93,Fabric,Classic,Light Blue
94,Fabric,Modern,Mint Green
95,Fabric,Modern,Mint Green
96,Wood,Classic,Gray
97,Metal,Classic,Red
98,Wood,Classic,Gray
99,Fabric,Modern,Mint Green
100,Fabric,Modern,Black
101,Metal,Classic,Yellow
102,Wood,Classic,Royal Blue
103,Glass,Modern,Dark Green
104,Fabric,Classic,Yellow
105,Plastic,Modern,White
106,Wood,Classic,Red
107,Fabric,Modern,Black
108,Wood,Classic,Red
109,Metal,Modern,Gray
110,Wood,Modern,Black
111,Plastic,Classic,Brown
112,Fabric,Modern,Maroon
113,Fabric,Classic,Baby Blue
114,Metal,Classic,Navy Blue
115,Glass,Classic,Brown
116,Wood,Classic,Mint Green
117,Plastic,Classic,Gray
118,Wood,Modern,Mint Green
119,Fabric,Modern,Baby Blue
120,Metal,Modern,Clear
121,Plastic,Modern,Black
122,Wood,Classic,Black
123,Fabric,Modern,Dark Green
124,Fabric,Classic,Maroon
125,Metal,Classic,Maroon
126,Fabric,Classic,Maroon
127,Fabric,Classic,Navy Blue
128,Wood,Modern,Baby Blue
129,Glass,Modern,Brown
130,Wood,Classic,Royal Blue
131,Fabric,Classic,Dark Green
132,Wood,Classic,Navy Blue
133,Metal,Classic,Royal Blue
134,Fabric,Modern,Light Blue
135,Fabric,Classic,Brown
136,Wood,Classic,Yellow
137,Plastic,Modern,Brown
138,Plastic,Classic,Black
139,Wood,Modern,Brown
140,Fabric,Classic,White
141,Metal,Classic,Clear
142,Fabric,Classic,Light Blue
143,Plastic,Classic,White
144,Metal,Classic,Brown
145,Metal,Modern,Navy Blue
