dis_id,product_id,start_time,end_time,dis_precent
1,69,2021-03-13 00:00:00,2021-03-28 00:00:00,15
2,49,2021-03-31 00:00:00,2021-04-15 00:00:00,10
3,13,2021-05-04 00:00:00,2021-05-18 00:00:00,15
4,4,2021-05-11 00:00:00,2021-05-26 00:00:00,35
5,3,2021-06-20 00:00:00,2021-07-07 00:00:00,40
6,27,2021-07-06 00:00:00,2021-07-25 00:00:00,35
7,69,2021-08-09 00:00:00,2021-08-21 00:00:00,20
8,61,2021-08-11 00:00:00,2021-08-27 00:00:00,10
9,48,2021-09-22 00:00:00,2021-10-02 00:00:00,20
10,36,2022-01-03 00:00:00,2022-01-22 00:00:00,10
11,53,2022-03-22 00:00:00,2022-04-03 00:00:00,35
12,2,2022-05-23 00:00:00,2022-06-10 00:00:00,40
13,29,2022-05-29 00:00:00,2022-06-08 00:00:00,20
14,22,2022-06-12 00:00:00,2022-06-28 00:00:00,30
15,22,2022-09-29 00:00:00,2022-10-14 00:00:00,35
16,3,2022-11-11 00:00:00,2022-11-22 00:00:00,10
17,62,2023-02-07 00:00:00,2023-02-26 00:00:00,40
18,49,2023-04-14 00:00:00,2023-04-24 00:00:00,40
19,62,2023-05-24 00:00:00,2023-06-07 00:00:00,30
20,14,2023-05-29 00:00:00,2023-06-11 00:00:00,10
21,13,2023-06-19 00:00:00,2023-07-09 00:00:00,15
22,71,2023-07-04 00:00:00,2023-07-14 00:00:00,35
23,41,2023-08-08 00:00:00,2023-08-22 00:00:00,20
24,12,2023-10-01 00:00:00,2023-10-12 00:00:00,40
25,76,2024-01-13 00:00:00,2024-02-01 00:00:00,25
26,70,2024-02-09 00:00:00,2024-02-29 00:00:00,30
27,56,2024-04-11 00:00:00,2024-04-24 00:00:00,30
28,30,2024-04-19 00:00:00,2024-05-01 00:00:00,30
29,1,2024-05-23 00:00:00,2024-06-10 00:00:00,25
30,48,2024-08-11 00:00:00,2024-08-24 00:00:00,15
31,66,2024-08-17 00:00:00,2024-08-31 00:00:00,20
32,6,2024-08-25 00:00:00,2024-09-08 00:00:00,25
33,27,2024-08-28 00:00:00,2024-09-17 00:00:00,25
34,73,2024-09-07 00:00:00,2024-09-23 00:00:00,15
35,53,2024-11-17 00:00:00,2024-12-03 00:00:00,25
