Order_line_id,product_id,Order_id,quantity,dis_id,design_id
1,38,1,1,,33
2,46,1,2,,124
3,19,2,1,,144
4,32,2,5,,114
5,40,2,4,,114
6,18,3,3,,31
7,49,3,4,,49
8,20,4,3,,122
9,69,4,5,,83
10,70,4,1,,5
11,35,5,5,,20
12,71,5,1,,74
13,43,6,5,,88
14,69,6,7,,83
15,70,6,4,,5
16,26,7,1,,94
17,54,7,5,,4
18,5,8,3,,121
19,27,8,3,,86
20,76,8,1,,59
21,11,9,4,,136
22,19,9,3,,144
23,34,10,5,,67
24,36,10,5,,68
25,52,10,1,,121
26,14,11,1,,29
27,66,11,3,,140
28,26,12,2,,94
29,27,12,4,,86
30,75,12,4,,108
31,4,13,5,,59
32,41,13,1,,45
33,53,14,2,,122
34,57,14,2,,80
35,75,14,5,,108
36,16,15,5,,73
37,20,15,4,,122
38,15,16,4,,18
39,26,16,3,,94
40,28,16,10,,128
41,9,17,1,,117
42,14,17,5,,29
43,47,18,4,,15
44,54,18,2,,4
45,59,18,1,,52
46,16,19,3,,73
47,68,19,1,,31
48,4,20,2,,59
49,9,20,2,,117
50,10,20,3,,37
51,26,21,5,,94
52,36,21,3,,68
53,22,22,4,,5
54,23,22,5,,16
55,51,22,7,,72
56,49,23,1,,49
57,67,23,4,,47
58,28,24,1,,128
59,33,24,3,,15
60,76,24,2,,59
61,19,25,4,,144
62,49,25,2,,49
63,18,26,3,,31
64,34,26,5,,67
65,52,26,4,,121
66,66,27,2,,140
67,68,27,1,,31
68,33,28,2,,15
69,52,28,5,,121
70,66,28,4,,140
71,20,29,4,,122
72,72,29,2,,82
73,39,30,2,,121
74,62,30,1,,14
75,76,30,4,,59
76,19,31,4,,144
77,68,31,5,,31
78,6,32,4,,144
79,7,32,4,,77
80,35,32,2,,20
81,46,33,3,,124
82,60,33,1,,141
83,1,34,2,,34
84,7,34,3,,77
85,63,34,2,,103
86,51,35,1,,72
87,61,35,2,,22
88,30,36,1,,96
89,35,36,4,,20
90,57,36,3,,80
91,36,37,4,,68
92,39,37,2,,121
93,10,38,3,,37
94,40,38,3,,114
95,43,38,1,,88
96,5,39,5,,121
97,30,39,2,,96
98,21,40,5,,59
99,60,40,1,,141
100,63,40,2,,103
101,51,41,6,,72
102,56,41,3,,88
103,7,42,4,,77
104,9,42,2,,117
105,32,42,1,,114
106,16,43,2,,73
107,52,43,10,,121
108,10,44,4,,37
109,20,44,3,,122
110,46,44,1,,124
111,16,45,5,,73
112,26,45,5,,94
113,11,46,1,,136
114,17,46,1,,24
115,19,46,2,,144
116,20,47,10,,122
117,42,47,1,,33
118,42,48,4,,33
119,52,48,3,,121
120,67,48,3,,47
121,49,49,4,,49
122,77,49,2,,71
123,55,50,5,,105
124,57,50,4,,80
125,72,50,4,,82
126,22,51,3,,5
127,23,51,4,,16
128,10,52,2,,37
129,39,52,1,,121
130,59,52,4,,52
131,26,53,3,,94
132,67,53,2,,47
133,27,54,4,,86
134,30,54,4,,96
135,32,54,2,,114
136,50,55,2,,24
137,59,55,5,,52
138,2,56,4,,74
139,9,56,2,,117
140,10,56,1,,37
141,9,57,3,,117
142,66,57,8,,140
143,23,58,2,,16
144,42,58,1,,33
145,64,58,4,,100
146,39,59,1,,121
147,69,59,1,1,83
148,15,60,1,,18
149,41,60,2,,45
150,69,60,4,1,83
151,11,61,2,,136
152,69,61,1,1,83
153,60,62,6,,141
154,62,62,5,,14
155,69,62,5,1,83
156,60,63,3,,141
157,69,63,1,1,83
158,17,64,2,,24
159,25,64,3,,34
160,69,64,4,1,83
161,69,65,4,1,83
162,71,65,9,,74
163,1,66,8,,34
164,3,66,8,,40
165,69,66,3,1,83
166,37,67,5,,92
167,69,67,10,1,83
168,48,68,5,,60
169,60,68,2,,141
170,69,68,4,1,83
171,69,69,1,1,83
172,70,69,2,,5
173,4,70,1,,59
174,35,70,5,,20
175,69,70,1,1,83
176,8,71,4,,50
177,69,71,5,1,83
178,13,72,1,,17
179,23,72,5,,16
180,47,72,1,,15
181,26,73,4,,94
182,69,73,1,1,83
183,5,74,5,,121
184,15,74,2,,18
185,69,74,3,1,83
186,35,75,4,,20
187,69,75,1,1,83
188,18,76,5,,31
189,44,76,5,,118
190,69,76,4,1,83
191,23,77,5,,16
192,75,77,3,,108
193,22,78,1,,5
194,28,78,2,,128
195,69,78,4,1,83
196,69,79,3,1,83
197,74,79,3,,16
198,14,80,2,,29
199,27,80,1,,86
200,69,80,5,1,83
201,38,81,1,,33
202,69,81,2,1,83
203,39,82,2,,121
204,69,82,3,1,83
205,71,82,5,,74
206,26,83,10,,94
207,69,83,2,1,83
208,23,84,3,,16
209,37,84,10,,92
210,69,84,5,1,83
211,31,85,2,,87
212,69,85,5,1,83
213,16,86,1,,73
214,51,86,4,,72
215,69,86,4,1,83
