Order_id,branch_id,customer_id,time,payment_method
1,100,1,2021-02-15 01:32:41,Debit Card
2,100,1,2021-02-15 16:47:08,Cash
3,100,1,2021-02-16 03:46:22,Cash
4,100,1,2021-02-16 05:20:36,Debit Card
5,100,4,2021-02-17 05:19:30,Debit Card
6,100,3,2021-02-17 17:55:22,Cash
7,100,7,2021-02-18 17:48:19,Cash
8,100,3,2021-02-18 20:04:45,Debit Card
9,100,1,2021-02-19 01:57:38,Cash
10,100,2,2021-02-19 07:00:29,Debit Card
11,100,8,2021-02-20 12:11:16,Debit Card
12,100,6,2021-02-20 22:43:58,Debit Card
13,100,6,2021-02-21 08:25:32,Debit Card
14,100,7,2021-02-21 19:28:01,Debit Card
15,100,6,2021-02-21 21:43:04,Debit Card
16,100,4,2021-02-22 02:23:59,Debit Card
17,100,8,2021-02-22 09:06:23,Debit Card
18,100,4,2021-02-23 00:43:40,Cash
19,100,2,2021-02-23 09:48:07,Debit Card
20,100,2,2021-02-24 04:49:04,Cash
21,100,13,2021-02-24 22:23:35,Cash
22,100,7,2021-02-25 06:47:20,Debit Card
23,100,12,2021-02-25 08:22:14,Cash
24,100,19,2021-02-26 00:49:38,Debit Card
25,100,6,2021-02-26 10:55:10,Cash
26,100,16,2021-02-26 14:59:19,Cash
27,100,13,2021-02-26 20:06:18,Debit Card
28,100,3,2021-02-27 01:23:03,Debit Card
29,100,18,2021-02-27 04:07:51,Debit Card
30,100,14,2021-02-28 04:42:25,Debit Card
31,100,2,2021-02-28 14:07:24,Cash
32,100,20,2021-03-01 05:05:02,Cash
33,100,4,2021-03-01 10:13:14,Cash
34,100,15,2021-03-01 18:23:35,Cash
35,100,24,2021-03-02 00:48:00,Debit Card
36,100,18,2021-03-02 04:28:54,Cash
37,100,17,2021-03-03 17:28:44,Debit Card
38,100,5,2021-03-03 23:42:29,Debit Card
39,100,26,2021-03-04 07:28:53,Debit Card
40,100,23,2021-03-04 15:14:38,Cash
41,100,28,2021-03-05 06:01:10,Debit Card
42,100,12,2021-03-05 09:28:19,Debit Card
43,100,13,2021-03-06 15:24:16,Cash
44,100,30,2021-03-06 15:48:55,Debit Card
45,100,7,2021-03-07 09:07:30,Cash
46,100,5,2021-03-07 23:47:56,Cash
47,100,28,2021-03-08 07:09:03,Cash
48,100,15,2021-03-08 17:51:54,Cash
49,100,15,2021-03-09 02:18:00,Cash
50,100,19,2021-03-09 21:17:54,Debit Card
51,100,20,2021-03-10 05:12:34,Debit Card
52,100,15,2021-03-10 18:24:55,Cash
53,100,26,2021-03-11 18:49:52,Cash
54,100,9,2021-03-11 20:23:16,Debit Card
55,100,2,2021-03-11 22:02:14,Cash
56,100,37,2021-03-12 10:09:41,Cash
57,100,39,2021-03-12 10:34:30,Debit Card
58,100,16,2021-03-12 15:34:02,Cash
59,100,16,2021-03-13 08:43:49,Cash
60,100,2,2021-03-13 15:19:50,Cash
61,100,16,2021-03-14 05:59:07,Cash
62,100,28,2021-03-14 21:41:59,Debit Card
63,100,46,2021-03-15 01:46:16,Debit Card
64,100,12,2021-03-15 06:26:43,Debit Card
65,100,17,2021-03-15 07:22:51,Cash
66,100,45,2021-03-16 04:03:03,Cash
67,100,42,2021-03-16 09:47:36,Debit Card
68,100,40,2021-03-17 00:37:53,Debit Card
69,100,36,2021-03-17 19:56:05,Debit Card
70,100,8,2021-03-17 22:30:14,Cash
71,100,25,2021-03-18 12:31:43,Debit Card
72,100,16,2021-03-18 23:04:18,Cash
73,100,37,2021-03-19 03:46:51,Cash
74,100,53,2021-03-19 16:17:58,Debit Card
75,100,16,2021-03-19 19:15:46,Debit Card
76,100,13,2021-03-20 20:05:00,Debit Card
77,100,57,2021-03-20 22:49:07,Cash
78,100,7,2021-03-21 06:55:44,Debit Card
79,100,22,2021-03-21 11:14:38,Cash
80,100,36,2021-03-21 19:30:45,Cash
81,100,4,2021-03-22 05:33:45,Cash
82,100,33,2021-03-22 18:03:03,Cash
83,100,42,2021-03-22 22:43:00,Cash
84,100,45,2021-03-23 02:17:52,Debit Card
85,100,60,2021-03-23 18:49:09,Debit Card
86,100,63,2021-03-24 06:29:25,Cash
87,100,2,2021-03-24 09:19:13,Cash
88,100,9,2021-03-24 13:36:59,Cash
89,100,5,2021-03-24 18:26:55,Cash
90,100,55,2021-03-24 19:46:13,Cash
91,100,39,2021-03-25 03:00:01,Debit Card
92,100,33,2021-03-25 14:04:03,Debit Card
93,100,64,2021-03-25 16:43:15,Cash
94,100,54,2021-03-26 07:09:35,Cash
95,100,8,2021-03-26 07:34:33,Debit Card
96,100,65,2021-03-27 04:53:53,Debit Card
97,100,28,2021-03-27 15:39:11,Debit Card
98,100,76,2021-03-28 06:17:52,Cash
99,100,72,2021-03-28 07:33:27,Debit Card
100,100,55,2021-03-28 13:32:43,Debit Card
101,100,12,2021-03-29 02:23:41,Debit Card
102,100,30,2021-03-29 04:44:49,Cash
103,100,15,2021-03-29 09:22:52,Cash
104,100,29,2021-03-29 17:38:12,Debit Card
105,100,24,2021-03-30 11:05:30,Debit Card
106,100,12,2021-03-30 14:02:29,Cash
107,100,50,2021-03-31 08:46:12,Debit Card
108,100,39,2021-03-31 16:23:46,Debit Card
109,100,38,2021-04-01 10:59:23,Cash
110,100,22,2021-04-01 14:27:23,Cash
111,100,72,2021-04-02 08:26:02,Debit Card
112,100,77,2021-04-02 13:18:43,Cash
113,100,25,2021-04-03 21:30:34,Debit Card
114,100,14,2021-04-03 23:44:21,Cash
115,100,72,2021-04-04 05:32:21,Cash
116,100,18,2021-04-04 22:02:47,Debit Card
117,100,33,2021-04-05 03:18:28,Debit Card
118,100,43,2021-04-05 03:59:00,Debit Card
119,100,74,2021-04-05 21:53:04,Debit Card
120,100,65,2021-04-06 05:58:50,Debit Card
121,100,33,2021-04-06 13:59:08,Cash
122,100,55,2021-04-07 02:19:38,Cash
123,100,95,2021-04-07 15:31:23,Cash
124,100,76,2021-04-08 08:14:17,Cash
125,100,44,2021-04-08 20:24:48,Cash
126,100,80,2021-04-09 12:34:23,Debit Card
127,100,57,2021-04-09 15:17:57,Debit Card
128,100,77,2021-04-10 06:26:42,Debit Card
129,100,2,2021-04-10 07:47:54,Cash
130,100,71,2021-04-10 18:58:16,Cash
131,100,107,2021-04-11 04:37:42,Debit Card
132,100,102,2021-04-11 23:25:04,Cash
133,100,22,2021-04-12 01:28:18,Cash
134,100,76,2021-04-12 05:30:19,Cash
135,100,83,2021-04-12 14:09:37,Cash
136,100,58,2021-04-12 14:41:30,Cash
137,100,91,2021-04-13 11:51:22,Debit Card
138,100,75,2021-04-13 14:16:46,Cash
139,100,57,2021-04-14 09:48:50,Cash
140,100,81,2021-04-14 20:07:08,Cash
141,100,108,2021-04-15 05:34:43,Cash
142,100,43,2021-04-15 23:42:41,Cash
143,100,4,2021-04-16 00:34:49,Cash
144,100,93,2021-04-16 07:32:44,Cash
145,100,37,2021-04-17 03:18:30,Debit Card
146,100,15,2021-04-17 07:08:29,Cash
147,100,32,2021-04-17 18:05:13,Debit Card
148,100,113,2021-04-18 07:20:22,Cash
149,100,70,2021-04-18 16:27:55,Cash
150,100,14,2021-04-19 11:35:08,Debit Card
151,100,75,2021-04-19 15:30:24,Debit Card
152,100,13,2021-04-20 13:50:10,Debit Card
153,100,80,2021-04-20 22:32:17,Cash
154,100,81,2021-04-21 07:48:24,Debit Card
155,100,100,2021-04-21 12:10:05,Debit Card
156,100,17,2021-04-22 00:28:35,Debit Card
157,100,43,2021-04-22 22:48:47,Cash
158,100,57,2021-04-23 03:10:37,Debit Card
159,100,54,2021-04-23 07:45:54,Debit Card
160,100,111,2021-04-23 15:06:26,Cash
161,100,24,2021-04-24 18:26:51,Cash
162,100,54,2021-04-24 18:48:44,Cash
163,100,27,2021-04-25 14:01:40,Cash
164,100,33,2021-04-25 23:33:59,Cash
165,100,63,2021-04-26 04:45:46,Debit Card
166,100,61,2021-04-26 13:34:02,Cash
167,100,26,2021-04-26 16:21:18,Debit Card
168,100,109,2021-04-27 01:29:55,Debit Card
169,100,88,2021-04-27 04:32:33,Cash
170,100,21,2021-04-27 05:31:25,Debit Card
171,100,118,2021-04-28 10:47:22,Debit Card
172,100,5,2021-04-28 11:55:25,Debit Card
173,100,91,2021-04-29 03:02:51,Cash
174,100,49,2021-04-29 05:12:24,Cash
175,100,14,2021-04-30 10:37:18,Debit Card
176,100,63,2021-04-30 18:13:36,Debit Card
177,100,101,2021-05-01 03:53:27,Debit Card
178,100,41,2021-05-01 05:52:20,Debit Card
179,100,63,2021-05-01 19:45:29,Cash
180,100,24,2021-05-02 01:19:33,Debit Card
181,100,32,2021-05-02 04:11:03,Cash
182,100,40,2021-05-03 01:04:40,Debit Card
183,100,27,2021-05-03 07:59:04,Cash
184,100,17,2021-05-03 20:19:13,Debit Card
185,100,44,2021-05-03 23:19:40,Cash
186,100,81,2021-05-04 17:02:47,Cash
187,100,52,2021-05-04 17:31:27,Debit Card
188,100,5,2021-05-05 00:57:40,Debit Card
189,100,44,2021-05-05 06:38:57,Debit Card
190,100,125,2021-05-06 00:07:11,Debit Card
191,100,19,2021-05-06 07:05:42,Debit Card
192,100,49,2021-05-07 00:47:08,Cash
193,100,45,2021-05-07 01:16:29,Cash
194,100,110,2021-05-08 01:22:28,Debit Card
195,100,1,2021-05-08 06:29:25,Debit Card
196,100,126,2021-05-08 13:17:58,Cash
197,100,67,2021-05-09 03:21:56,Cash
198,100,24,2021-05-09 21:50:58,Debit Card
199,100,38,2021-05-10 00:26:01,Debit Card
200,100,123,2021-05-10 11:33:07,Debit Card
201,100,143,2021-05-11 08:50:40,Debit Card
202,100,109,2021-05-11 13:20:03,Cash
203,100,122,2021-05-11 18:00:16,Debit Card
204,100,130,2021-05-12 12:21:50,Cash
205,100,11,2021-05-12 15:09:04,Debit Card
206,100,14,2021-05-13 04:49:41,Debit Card
207,100,111,2021-05-13 17:12:49,Debit Card
208,100,73,2021-05-13 17:53:19,Cash
209,100,54,2021-05-14 11:34:48,Debit Card
210,100,64,2021-05-14 12:18:20,Cash
211,100,156,2021-05-15 07:29:36,Debit Card
212,100,34,2021-05-15 20:21:14,Debit Card
213,100,44,2021-05-16 01:07:21,Cash
214,100,1,2021-05-16 18:58:15,Debit Card
215,100,88,2021-05-17 00:48:06,Debit Card
216,100,59,2021-05-17 02:16:41,Cash
217,100,56,2021-05-17 23:41:08,Debit Card
218,100,125,2021-05-18 04:30:38,Cash
219,100,80,2021-05-18 09:01:23,Cash
220,100,133,2021-05-18 23:22:12,Debit Card
221,100,79,2021-05-19 01:05:24,Cash
222,100,57,2021-05-19 06:45:28,Debit Card
223,100,86,2021-05-19 16:05:27,Cash
224,100,51,2021-05-19 18:33:44,Cash
225,100,149,2021-05-20 00:48:49,Cash
226,100,68,2021-05-20 23:18:04,Cash
227,100,26,2021-05-21 02:36:15,Cash
228,100,40,2021-05-21 03:26:19,Cash
229,100,138,2021-05-21 09:22:57,Cash
230,100,109,2021-05-22 00:00:28,Debit Card
231,100,119,2021-05-22 22:53:15,Cash
232,100,130,2021-05-23 01:09:48,Debit Card
233,100,58,2021-05-23 04:32:30,Cash
234,100,131,2021-05-24 08:36:14,Cash
235,100,46,2021-05-24 08:38:31,Debit Card
236,100,57,2021-05-25 11:21:51,Cash
237,100,142,2021-05-25 12:06:45,Debit Card
238,100,97,2021-05-26 03:06:11,Debit Card
239,100,2,2021-05-26 07:20:15,Cash
240,100,174,2021-05-26 15:22:55,Cash
241,100,95,2021-05-27 05:33:21,Cash
242,100,164,2021-05-27 17:43:47,Cash
243,100,9,2021-05-28 07:06:48,Cash
244,100,61,2021-05-28 22:48:50,Cash
245,100,53,2021-05-29 09:25:37,Debit Card
246,100,35,2021-05-29 13:08:20,Debit Card
247,100,1,2021-05-30 02:09:10,Debit Card
248,100,143,2021-05-30 08:11:18,Cash
249,100,17,2021-05-30 14:08:06,Cash
250,100,4,2021-05-31 18:25:48,Cash
251,100,161,2021-05-31 20:07:59,Cash
252,100,151,2021-06-01 03:57:30,Cash
253,100,64,2021-06-01 08:16:36,Debit Card
254,100,38,2021-06-02 01:22:51,Debit Card
255,100,23,2021-06-02 10:47:08,Debit Card
256,100,32,2021-06-02 22:35:12,Debit Card
257,100,26,2021-06-03 14:57:39,Debit Card
258,100,11,2021-06-03 20:09:30,Debit Card
259,100,156,2021-06-03 23:26:26,Debit Card
260,100,161,2021-06-04 06:09:24,Cash
261,100,137,2021-06-04 17:54:30,Cash
262,100,18,2021-06-05 03:49:25,Debit Card
263,100,165,2021-06-05 09:08:53,Debit Card
264,100,134,2021-06-06 02:17:51,Cash
265,100,83,2021-06-06 04:55:41,Debit Card
266,100,190,2021-06-07 11:44:41,Debit Card
267,100,120,2021-06-07 18:44:23,Debit Card
268,100,116,2021-06-08 03:34:08,Cash
269,100,97,2021-06-08 19:15:22,Cash
270,100,89,2021-06-08 23:56:56,Debit Card
271,100,47,2021-06-09 05:38:57,Cash
272,100,125,2021-06-09 17:58:54,Cash
273,100,91,2021-06-10 02:47:50,Debit Card
274,100,6,2021-06-10 03:48:41,Debit Card
275,100,143,2021-06-10 10:10:04,Cash
276,100,69,2021-06-10 18:02:10,Cash
277,100,138,2021-06-11 02:52:46,Debit Card
278,100,78,2021-06-11 15:45:10,Cash
279,100,102,2021-06-12 17:05:43,Cash
280,100,54,2021-06-12 18:47:31,Debit Card
281,100,53,2021-06-13 03:51:30,Debit Card
282,100,54,2021-06-13 12:05:46,Debit Card
283,100,76,2021-06-13 21:10:49,Debit Card
284,100,50,2021-06-13 23:15:15,Cash
285,100,30,2021-06-14 13:34:11,Debit Card
286,100,199,2021-06-14 15:31:39,Cash
287,100,198,2021-06-14 23:09:22,Debit Card
288,100,23,2021-06-15 06:49:28,Cash
289,100,139,2021-06-15 07:35:31,Cash
290,100,58,2021-06-15 19:42:55,Debit Card
291,100,183,2021-06-15 21:20:44,Debit Card
292,100,15,2021-06-16 06:50:54,Debit Card
293,100,185,2021-06-16 12:50:33,Debit Card
294,100,157,2021-06-17 16:04:19,Cash
295,100,32,2021-06-17 20:14:23,Cash
296,100,48,2021-06-18 01:52:46,Debit Card
297,100,199,2021-06-18 18:03:46,Debit Card
298,100,24,2021-06-18 21:09:52,Cash
299,100,1,2021-06-19 07:53:10,Cash
300,100,104,2021-06-19 10:50:00,Cash
301,100,129,2021-06-19 23:15:22,Cash
302,100,216,2021-06-20 00:11:11,Debit Card
303,100,27,2021-06-20 05:28:44,Debit Card
304,100,182,2021-06-21 14:59:00,Debit Card
305,100,98,2021-06-21 20:49:58,Debit Card
306,100,56,2021-06-22 01:07:42,Debit Card
307,100,141,2021-06-22 06:23:13,Debit Card
308,100,145,2021-06-22 14:08:59,Debit Card
309,100,158,2021-06-23 04:56:53,Cash
310,100,145,2021-06-23 13:56:19,Debit Card
311,100,100,2021-06-24 04:52:04,Cash
312,100,171,2021-06-24 08:49:12,Cash
313,100,40,2021-06-25 00:49:41,Cash
314,100,100,2021-06-25 01:41:50,Cash
315,100,128,2021-06-25 02:37:35,Cash
316,100,122,2021-06-25 18:52:43,Cash
317,100,77,2021-06-26 13:53:31,Debit Card
318,100,80,2021-06-26 16:43:32,Cash
319,100,83,2021-06-27 02:32:55,Debit Card
320,100,4,2021-06-27 15:10:58,Cash
321,100,136,2021-06-27 20:29:30,Cash
322,100,220,2021-06-28 05:26:31,Cash
323,100,162,2021-06-28 07:56:19,Cash
324,100,59,2021-06-29 03:29:25,Cash
325,100,60,2021-06-29 05:05:07,Cash
326,100,176,2021-06-29 22:03:39,Debit Card
327,100,114,2021-06-30 02:59:59,Debit Card
328,100,55,2021-06-30 10:04:24,Cash
329,100,56,2021-06-30 15:16:37,Cash
330,100,231,2021-07-01 06:12:58,Cash
331,100,206,2021-07-01 07:27:52,Debit Card
332,100,61,2021-07-01 09:35:02,Debit Card
333,100,47,2021-07-01 22:21:20,Debit Card
334,100,197,2021-07-02 13:55:15,Debit Card
335,100,27,2021-07-02 20:07:43,Cash
336,100,57,2021-07-03 03:10:36,Debit Card
337,100,236,2021-07-03 07:12:38,Debit Card
338,100,233,2021-07-04 04:14:17,Debit Card
339,100,153,2021-07-04 16:18:30,Debit Card
340,100,132,2021-07-05 00:29:14,Cash
