Order_line_id,product_id,Order_id,quantity,dis_id,design_id
1,12,9403,4,,63
2,1,1692,3,99,53
3,43,629,5,,1
4,19,1223,27,,29
5,43,677,5,,70
6,37,6043,14,,75
7,23,2096,16,,7
8,31,7618,21,,51
9,2,1806,1,,6
10,13,151,25,,70
11,53,9041,3,24,27
12,54,5802,3,80,68
13,45,611,3,,40
14,35,8996,1,,49
15,12,6521,5,,23
16,40,9747,2,,65
17,24,4400,1,,47
18,57,2743,1,,64
19,42,8650,4,,71
20,20,9713,3,,16
21,43,6165,1,,46
22,6,6424,5,,57
23,54,2043,16,,39
24,31,3659,2,14,17
25,27,5795,25,,83
26,48,5424,1,34,16
27,52,5095,22,,1
28,23,3278,4,,73
29,48,3391,3,,6
30,58,4052,1,,64
31,6,6552,17,,79
32,45,8137,4,,57
33,36,7260,3,,29
34,10,9451,18,,72
35,54,4410,18,,65
36,42,6942,4,3,3
37,50,3739,1,,45
38,34,7644,3,22,21
39,60,4849,21,,32
40,28,9158,24,111,66
41,7,545,3,,29
42,55,3223,1,,53
43,38,862,5,,86
44,56,2692,1,,64
45,28,7051,3,,84
46,23,3112,4,48,50
47,19,1128,5,,93
48,57,5434,1,,61
49,42,5617,3,,2
50,31,2866,1,,70
51,16,314,15,,61
52,13,5364,1,,92
53,34,4936,3,,1
54,15,9051,4,,22
55,52,9576,2,,14
56,60,9995,5,,77
57,7,159,7,,31
58,60,7366,4,,26
59,28,4874,5,111,81
60,51,2424,23,,91
61,5,10,1,,68
62,51,8750,4,,51
63,11,254,11,,24
64,45,3519,4,,27
65,51,2985,2,,83
66,34,854,9,22,19
67,16,601,4,,4
68,26,9285,17,,25
69,11,1334,4,18,63
70,57,8421,5,,75
71,46,5593,20,2,48
72,54,1784,2,,10
73,23,9484,25,,39
74,47,4210,30,,14
75,39,396,1,52,94
76,25,6226,3,108,2
77,28,3980,7,,87
78,10,6863,3,,38
79,12,2757,5,,69
80,13,2372,12,,38
81,27,5534,4,,17
82,49,9233,5,,88
83,9,6653,5,,95
84,1,9472,5,,45
85,11,4316,5,,42
86,33,7084,1,,67
87,37,4535,3,,28
88,11,3826,2,,38
89,27,9622,4,,56
90,12,5379,5,,63
91,34,1259,3,,76
92,34,2568,5,69,62
93,19,3205,2,,65
94,51,741,2,,20
95,23,667,1,,8
96,7,6494,4,,29
97,42,2759,3,,42
98,45,1015,5,,22
99,46,5858,1,,38
100,49,3074,3,,48
101,31,7906,4,14,58
102,12,7654,2,,3
103,38,916,5,,32
104,41,257,2,,23
105,43,8423,4,,6
106,10,4360,28,,44
107,7,8583,1,8,33
108,43,7096,3,,21
109,52,2962,5,,43
110,50,9135,5,,72
111,59,2077,4,,27
112,58,4722,2,,58
113,35,6766,3,56,61
114,44,9613,1,,16
115,51,1713,1,,70
116,10,266,1,,97
117,34,2711,4,,27
118,20,2906,2,,45
119,48,3470,1,34,54
120,28,2340,6,,37
121,11,1576,3,18,11
122,15,4680,5,,93
123,11,7259,4,,94
124,23,9387,2,,25
125,32,856,3,,34
126,15,6213,30,,46
127,25,9069,2,108,39
128,44,7471,4,,87
129,58,5977,4,,60
130,5,2909,3,,80
131,34,8956,4,22,99
132,19,5709,5,,26
133,60,9686,2,,35
134,51,4594,5,,38
135,3,9470,3,,10
136,17,2786,2,,60
137,53,7669,3,,16
138,38,7511,25,,67
139,46,6684,1,2,51
140,55,545,3,97,15
141,50,3801,20,,57
142,20,9365,1,,2
143,35,5028,2,,43
144,13,3331,4,,8
145,36,2150,5,,41
146,28,2573,5,111,43
147,35,1898,7,56,22
148,1,906,1,,82
149,47,8526,2,,23
150,17,6619,5,,84
151,46,220,5,2,33
152,47,4294,5,,82
153,11,6446,3,,95
154,18,3859,1,50,73
155,53,1198,5,24,35
156,39,5425,3,52,22
157,14,6241,29,70,75
158,26,2043,2,,48
159,46,7183,4,2,46
160,40,3159,2,,15
161,52,7931,3,,13
162,27,3975,2,,83
163,31,8597,12,14,70
164,29,2191,10,82,20
165,42,9685,4,3,14
166,44,1991,1,,7
167,2,1556,16,,34
168,20,7133,3,,75
169,20,472,1,,58
170,31,9162,2,14,87
171,44,589,3,,42
172,25,775,3,108,59
173,25,4038,3,,77
174,19,8731,24,,41
175,48,7853,2,34,88
176,43,8350,1,,73
177,2,6472,1,,80
178,2,6870,1,,18
179,54,1218,26,,95
