Order_id,branch_id,customer_id,time,payment_method,status_order,installation_order
1,200,866,2025-02-03 00:42:20,Online,Cancelled,Yes
2,200,1133,2024-11-09 01:21:29,Debit Card,Completed,Yes
3,300,703,2024-12-11 13:27:58,Debit Card,Completed,Yes
4,100,2084,2024-05-04 06:11:31,Cash,Pending,No
5,200,2845,2024-07-12 18:35:54,Online,Completed,No
6,300,2528,2024-09-21 21:41:08,Credit Card,Cancelled,No
7,200,730,2024-03-19 13:44:55,Credit Card,Completed,Yes
8,100,306,2025-07-04 18:01:48,Debit Card,Pending,Yes
9,300,1720,2024-05-21 14:24:59,Debit Card,Completed,Yes
10,300,772,2024-04-02 21:38:32,Cash,Pending,Yes
11,300,2160,2025-06-09 04:25:40,Credit Card,Completed,Yes
12,300,493,2025-02-28 13:58:48,Credit Card,Pending,No
13,200,1742,2024-06-09 18:16:00,Online,Completed,Yes
14,100,999,2023-08-19 16:53:21,Online,Pending,No
15,100,1915,2025-01-15 00:48:58,Cash,Completed,Yes
16,300,1834,2025-06-16 18:19:02,Debit Card,Completed,Yes
17,200,2339,2024-05-24 22:31:22,Cash,Pending,Yes
18,100,65,2025-05-02 13:24:14,Cash,Completed,Yes
19,100,1942,2025-02-11 03:27:57,Cash,Completed,No
20,100,1450,2024-04-24 04:51:52,Cash,Completed,No
21,200,2578,2025-07-12 23:10:06,Credit Card,Pending,No
22,100,2548,2025-06-15 03:12:55,Cash,Completed,Yes
23,200,2989,2025-03-01 03:28:20,Cash,Completed,No
24,100,1846,2025-04-15 06:39:10,Debit Card,Completed,No
25,100,2666,2023-03-16 06:18:11,Debit Card,Pending,No
26,300,2987,2025-06-27 15:46:00,Online,Completed,Yes
27,100,2888,2024-03-26 11:03:39,Online,Completed,No
28,100,2445,2023-09-02 15:14:56,Cash,Completed,No
29,100,2873,2024-10-06 19:54:04,Credit Card,Completed,Yes
30,300,395,2025-07-12 13:05:25,Credit Card,Completed,Yes
31,300,699,2024-08-10 12:46:02,Cash,Completed,Yes
32,300,1337,2025-04-21 17:57:10,Cash,Completed,No
33,200,2166,2025-04-26 11:03:26,Online,Completed,No
34,300,2893,2024-11-27 09:10:08,Cash,Completed,No
35,100,594,2024-03-30 14:29:23,Online,Completed,No
36,100,2321,2024-07-25 02:42:44,Credit Card,Completed,Yes
37,200,855,2024-12-27 23:31:40,Credit Card,Completed,Yes
38,100,2287,2023-08-18 18:23:28,Debit Card,Completed,Yes
39,100,316,2025-01-20 04:21:04,Online,Pending,Yes
40,300,1408,2025-03-27 07:56:25,Credit Card,Completed,Yes
41,100,187,2025-02-11 20:35:25,Debit Card,Completed,No
42,200,1593,2025-04-03 17:14:24,Cash,Completed,Yes
43,200,168,2025-06-08 17:16:40,Cash,Completed,Yes
44,100,788,2021-08-16 11:15:00,Online,Completed,Yes
45,300,474,2024-09-13 11:48:29,Debit Card,Completed,No
46,200,903,2025-05-30 08:54:31,Cash,Completed,No
47,300,325,2025-06-15 22:36:14,Online,Completed,No
48,200,2274,2025-05-16 17:30:28,Cash,Completed,Yes
49,300,625,2025-06-03 19:40:13,Debit Card,Completed,No
50,100,2468,2023-02-05 20:51:39,Online,Completed,No
51,300,2534,2025-07-14 23:59:56,Credit Card,Completed,Yes
52,200,1916,2024-01-29 10:02:45,Debit Card,Cancelled,No
53,200,2983,2025-01-04 12:20:41,Debit Card,Completed,No
54,300,2535,2025-07-13 05:09:03,Debit Card,Completed,No
55,300,1284,2025-01-18 02:18:28,Credit Card,Completed,Yes
56,100,1534,2023-08-29 21:12:13,Cash,Completed,Yes
57,100,1000,2024-05-24 15:21:49,Debit Card,Pending,No
58,300,1788,2025-01-31 23:38:34,Cash,Completed,Yes
59,100,1038,2024-07-05 22:40:16,Online,Completed,No
60,300,1430,2025-03-19 04:22:29,Credit Card,Completed,No
61,100,1565,2025-05-02 10:47:24,Credit Card,Completed,Yes
62,100,490,2025-02-19 18:04:18,Credit Card,Completed,No
63,300,261,2025-02-14 03:06:41,Debit Card,Pending,No
64,200,2337,2023-08-19 13:38:22,Online,Completed,Yes
65,200,1061,2024-11-16 20:52:42,Online,Completed,Yes
66,300,103,2025-07-14 19:24:34,Credit Card,Completed,Yes
67,200,2160,2025-07-09 03:36:48,Cash,Completed,Yes
68,200,1725,2023-09-18 20:46:49,Credit Card,Completed,Yes
69,200,315,2025-02-16 12:34:03,Credit Card,Completed,No
70,300,1683,2024-11-05 17:50:41,Cash,Cancelled,Yes
71,300,1034,2025-07-02 09:45:36,Debit Card,Completed,Yes
72,300,936,2025-06-14 09:04:15,Online,Completed,No
73,200,1967,2025-01-05 22:25:11,Cash,Pending,No
74,200,918,2025-02-01 06:39:48,Debit Card,Completed,Yes
75,100,2875,2024-08-03 07:08:12,Debit Card,Completed,No
76,100,2410,2025-07-09 04:22:50,Cash,Completed,No
77,200,57,2024-07-07 18:48:02,Credit Card,Completed,No
78,100,2303,2023-01-10 08:24:50,Cash,Completed,Yes
79,300,2648,2025-06-23 15:54:14,Credit Card,Completed,No
80,300,2940,2025-04-29 20:51:45,Online,Completed,No
81,100,1178,2023-09-17 21:00:01,Credit Card,Completed,Yes
82,300,359,2025-01-14 22:14:41,Credit Card,Completed,No
83,300,966,2024-12-03 05:56:44,Cash,Completed,No
84,100,2268,2025-06-20 20:21:42,Debit Card,Completed,Yes
85,300,1008,2025-05-18 07:44:47,Online,Completed,No
86,300,2412,2025-04-16 02:23:14,Credit Card,Completed,No
87,100,844,2025-03-21 02:21:36,Credit Card,Completed,Yes
88,200,623,2025-01-19 05:43:02,Credit Card,Completed,No
89,200,1160,2025-01-26 14:28:03,Online,Pending,Yes
90,100,768,2023-12-23 21:35:41,Debit Card,Completed,Yes
91,200,2330,2024-07-18 09:22:47,Online,Completed,No
92,300,861,2025-07-14 14:52:18,Cash,Completed,Yes
